Date,Tournament,Surface,Rd,,Score
21-Dec-1970,Adelaide,Grass,F,Kerry Harris [AUS] / Olga Morozova [URS] d. Hogan / Sharon Walsh Pete [USA],8-6 6-8 6-3
13-Oct-1970,Edinburgh,Carpet,F,Hogan / Francoise Durr [FRA] d. Betty Stove [NED] / Sharon Walsh Pete [USA],10-8 3-6 11-9
28-Sep-1970,San Francisco,Hard,F,Lesley Hunt [AUS] / Kristy Pigeon [USA] d. (4) Hogan / Judy Tegart [AUS],6-2 6-3
10-Aug-1970,Cranleigh,Grass,F,Hogan / Penelope Hardgrave [GBR] d. Shirley Bloomer / Marilyn Greenwood [GBR],7-5 9-7
03-Aug-1970,Ilkley,,F,Hogan / Rita Bentley [GBR] d. Lindsey Beaven / Corinne Molesworth [GBR],7-9 8-6 6-0
27-Jul-1970,Newcastle,Grass,F,Hogan / Corinne Molesworth [GBR] d. Lindsey Beaven / Rita Bentley [GBR],7-5 9-7
06-Jul-1970,Newport Wales,Grass,F,Rosie Casals [USA] / Judy Tegart [AUS] d. Hogan / Ann Jones [GBR],6-3 6-2
08-Jun-1970,Beckenham,Grass,F,Hogan / Peggy Michel [USA] d. Patricia Edwards / Evonne Goolagong [AUS],6-3 6-4
31-Mar-1970,San Juan,Hard,F,Hogan / Mary Ann Eisel [USA] d. Peaches Bartkowicz / Stephanie Defina [USA],6-3 5-7 6-0
24-Mar-1970,Curacao,,F,Hogan / Mary Ann Eisel [USA] d. Peaches Bartkowicz / Pam Teeguarden [USA],1-6 7-5 6-3
16-Mar-1970,Barranquilla,Grass,F,Hogan / Mary Ann Eisel [USA] d. Kathleen Harter / Pam Teeguarden [USA],6-3 7-5
10-Mar-1970,Caracas,Clay,F,Kerry Harris [AUS] / Nell Truman [GBR] d. Hogan / Mary Ann Eisel [USA],6-4 4-6 6-3
04-Mar-1970,Pompano Beach,Clay,F,Peaches Bartkowicz / Nancy Richey [USA] d. Hogan / Kathleen Harter [USA],6-2 6-1
20-Feb-1970,Agawam,Hard,F,Mary Ann Eisel / Valerie Ziegenfuss [USA] d. Hogan / Peggy Michel [USA],6-3 6-4
13-Feb-1970,Dallas,Carpet,F,Rosie Casals / Billie Jean King [USA] d. Hogan / Mary Ann Eisel [USA],10-8 6-3
26-Jan-1970,San Diego March of Dimes 1,Hard,F,Hogan / Laurie Tenney [USA] d. Chris Mattson / Janet Newberry [USA],8-6 9-7
31-Jul-1969,Locust Valley,Grass,F,Margaret Court / Kerry Harris [AUS] d. Hogan / Peggy Michel [USA],8-6 6-4
23-Jun-1969,Wimbledon,Grass,F,(1) Margaret Court / Judy Tegart [AUS] d. Hogan / Peggy Michel [USA],9-7 6-2
17-Mar-1969,Phoenix,Hard,F,Hogan / Peggy Michel [USA] d. Esme Emmanuel [RSA] / Cecilia Martinez [USA],3-6 6-3 6-1
19-Feb-1969,Boston,Carpet,F,Mary Ann Eisel / Valerie Ziegenfuss [USA] d. Hogan / Peggy Michel [USA],6-1 6-3
