Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1975,,,62,1675,52,1572,71,1583,28,1697,,,,
1974,,,63,1652,,,76,1554,33,1680,,,,
1973,,,50,1706,36,1602,55,1620,25,1723,,,,
1972,,,40,1727,31,1625,40,1658,26,1719,,,,
1971,,,29,1787,20,1685,24,1748,21,1746,,,,
1970,,,18,1895,14,1734,26,1774,12,1829,,,,
1969,,,26,1790,17,1687,43,1592,19,1729,,,,
1968,,,38,1718,17,1676,,,36,1645,,,,
1967,,,31,1741,16,1667,,,31,1647,,,,
1966,,,33,1749,16,1671,55,1536,45,1579,,,,
1965,,,74,1499,34,1416,,,,,,,,
