Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Brisbane QF,L vs Medvedev,20% (3/15),33% (1/3),0/4,43% (6/14),33% (2/6),0/1,0/0,2/2,0/0,1/1
2025 Wimbledon R32,W vs Rinderknech,19% (3/16),67% (2/3),0/1,18% (3/17),67% (2/3),2/2,1/1,2/2,0/0,0/0
2025 Wimbledon R64,W vs Quinn,54% (7/13),86% (6/7),1/1,23% (3/13),67% (2/3),4/5,2/2,0/0,0/0,0/0
2025 Wimbledon R128,W vs Berrettini,33% (8/24),75% (6/8),0/4,24% (6/25),33% (2/6),3/4,1/1,2/2,1/1,0/0
2025 Marrakech SF,L vs Griekspoor,25% (3/12),33% (1/3),0/1,17% (2/12),0% (0/2),1/1,0/1,2/3,0/0,2/2
2022 US Open R128,L vs Tabilo,16% (3/19),67% (2/3),0/7,44% (8/18),13% (1/8),1/2,0/0,1/1,0/0,1/1
2022 Wimbledon R128,L vs Kokkinakis,13% (2/16),50% (1/2),0/2,38% (6/16),33% (2/6),0/1,0/0,1/3,0/0,1/2
2021 US Open R128,L vs Ruusuvuori,24% (4/17),25% (1/4),0/5,35% (6/17),17% (1/6),1/1,1/1,0/0,0/0,0/0
2021 Roland Garros R64,L vs Ruud,29% (4/14),50% (2/4),1/6,54% (7/13),14% (1/7),1/2,0/0,1/1,0/0,0/0
2021 Roland Garros R128,W vs Cazaux,58% (11/19),45% (5/11),2/3,37% (7/19),43% (3/7),5/5,3/3,0/1,1/1,0/0
2021 Australian Open R128,L vs Kecmanovic,23% (3/13),0% (0/3),0/4,43% (6/14),17% (1/6),0/0,0/0,1/2,0/0,0/1
2020 Roland Garros R128,L vs Khachanov,27% (4/15),50% (2/4),0/4,40% (6/15),17% (1/6),1/2,0/0,0/1,0/0,0/1
2020 US Open R128,L vs Escobedo,33% (5/15),20% (1/5),0/3,29% (4/14),0% (0/4),0/1,0/0,1/2,0/0,0/0
2019 Antwerp R32,L vs Sinner,11% (1/9),100% (1/1),0/4,56% (5/9),20% (1/5),1/1,0/0,2/2,0/0,0/0
2019 US Open R32,L vs Dimitrov,13% (2/16),50% (1/2),0/3,31% (5/16),20% (1/5),1/1,0/0,3/4,0/0,0/0
2019 US Open R64,W vs Cuevas,42% (10/24),70% (7/10),1/3,22% (5/23),20% (1/5),5/6,2/2,0/1,0/0,0/0
2019 US Open R128,W vs Jarry,12% (3/26),67% (2/3),0/3,26% (7/27),43% (3/7),2/2,1/1,4/5,1/1,0/0
2019 Sopot CH R32,L vs Jahn,25% (6/24),67% (4/6),0/4,41% (9/22),33% (3/9),1/2,0/0,0/2,0/0,0/0
2019 Atlanta Q2,W vs Paul,36% (4/11),50% (2/4),1/1,9% (1/11),0% (0/1),1/2,1/1,0/0,1/1,0/0
2019 Wimbledon R128,L vs Verdasco,7% (1/15),100% (1/1),1/4,33% (5/15),20% (1/5),1/1,0/0,3/3,0/0,1/1
2026 (1 matches),,20.0%,33.3%,0.0%,42.9%,33.3%,0.0%,-,100.0%,-,100.0%
2025 (4 matches),,32.3%,71.4%,14.3%,20.9%,42.9%,83.3%,80.0%,85.7%,100.0%,100.0%
2022 (2 matches),,14.3%,60.0%,0.0%,41.2%,21.4%,33.3%,-,50.0%,-,66.7%
2021 (4 matches),,34.9%,36.4%,16.7%,41.3%,23.1%,87.5%,100.0%,50.0%,100.0%,0.0%
2020 (2 matches),,30.0%,33.3%,0.0%,34.5%,10.0%,33.3%,-,33.3%,-,0.0%
Career (212 matches),,42.7%,73.0%,27.2%,35.5%,30.2%,78.2%,80.7%,69.6%,82.1%,66.7%
