Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,0,2,0.0%,1-3,25.0%,15-21,41.7%,0-0,-,2,50.0%,30.0%,2.2%,11.0%,48.5%,62.1%,40.0%,50.7%,39.2%,45.1%,0.80,R32 (2x)
2025,42,18,24,42.9%,40-53,43.0%,406-447,47.6%,3-2,60.0%,39,59.6%,37.3%,4.3%,7.7%,51.3%,65.7%,42.3%,54.3%,44.9%,49.6%,0.98,SF (2x)
2024,60,29,31,48.3%,68-68,50.0%,601-611,49.6%,4-4,50.0%,3,55.2%,48.3%,2.2%,9.5%,46.9%,56.0%,48.4%,52.0%,47.8%,49.9%,1.00,W (W35 Yecla)
2023,47,23,24,48.9%,53-54,49.5%,496-486,50.5%,3-5,37.5%,5,38.9%,43.9%,2.2%,7.9%,53.1%,55.9%,34.7%,45.9%,45.7%,45.8%,0.84,SF (3x)
2022,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (W60 Andrezieux-Boutheon)
2021,59,38,21,64.4%,81-46,63.8%,634-507,55.6%,5-4,55.6%,2,42.9%,20.0%,3.3%,4.9%,51.6%,60.3%,33.9%,47.5%,38.2%,42.9%,0.73,W (2x)
2020,26,14,12,53.8%,31-28,52.5%,292-275,51.5%,3-3,50.0%,3,51.7%,33.3%,3.3%,6.6%,49.2%,60.7%,41.3%,50.8%,42.8%,46.7%,0.87,QF (5x)
2019,52,24,28,46.2%,64-61,51.2%,589-578,50.5%,2-4,33.3%,3,62.5%,35.7%,7.8%,4.3%,57.6%,60.8%,52.3%,57.2%,42.6%,50.0%,1.00,SF (W25 Las Palmas de Gran Canaria)
2018,34,20,14,58.8%,44-37,54.3%,394-387,50.4%,7-5,58.3%,3,64.1%,35.0%,2.4%,7.9%,47.8%,69.8%,42.8%,55.7%,43.6%,49.7%,0.98,W (Madrid $25K)
2017,23,12,11,52.2%,25-26,49.0%,238-232,50.6%,3-3,50.0%,4,68.3%,38.6%,6.7%,3.2%,51.3%,71.4%,42.5%,57.3%,45.1%,51.4%,1.06,F (Barcelona $60K)
2016,36,18,18,50.0%,41-39,51.2%,363-358,50.3%,2-3,40.0%,2,61.1%,35.3%,1.4%,9.4%,42.4%,59.3%,48.8%,53.2%,43.4%,49.0%,0.93,SF (2x)
2015,37,21,16,56.8%,45-39,53.6%,399-373,51.7%,3-5,37.5%,0,,,,,,,,,,,,F (Victoria $50K)
2014,26,7,19,26.9%,21-42,33.3%,266-338,44.0%,3-6,33.3%,1,-,-,1.8%,5.3%,49.1%,71.4%,31.0%,50.9%,40.3%,45.4%,0.82,QF (Biarritz 100K)
2013,63,39,24,61.9%,87-61,58.8%,749-651,53.5%,9-7,56.3%,0,,,,,,,,,,,,W (2x)
2012,56,35,21,62.5%,75-47,61.5%,600-505,54.3%,6-5,54.5%,0,,,,,,,,,,,,W (Gosier 10K)
2011,33,17,16,51.5%,36-36,50.0%,326-322,50.3%,2-4,33.3%,0,,,,,,,,,,,,SF (2x)
2010,17,7,10,41.2%,18-20,47.4%,165-172,49.0%,0-0,-,0,,,,,,,,,,,,F (Tampere 10K)
2009,7,3,4,42.9%,7-9,43.8%,74-76,49.3%,1-2,33.3%,0,,,,,,,,,,,,R16 (3x)
2008,4,1,3,25.0%,3-6,33.3%,31-47,39.7%,0-0,-,0,,,,,,,,,,,,R16 (Saint-Gaudens 50K)
2007,3,0,3,0.0%,0-6,0.0%,11-36,23.4%,0-0,-,0,,,,,,,,,,,,R32 (3x)
Career,628,326,302,51.9%,740-683,52.0%,6654-6434,50.8%,56-62,47.5%,67,57.6%,37.2%,4.0%,7.3%,51.0%,64.3%,42.2%,53.4%,44.4%,49.0%,0.95,
