Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,11,3,8,27.3%,8-18,30.8%,97-132,42.4%,0-0,-,0,,,,,,,,,,,,QF (W15 Monastir)
2023,18,13,5,72.2%,26-10,72.2%,182-106,63.2%,0-0,-,0,,,,,,,,,,,,QF (W15 Antalya)
2022,3,1,2,33.3%,3-4,42.9%,27-33,45.0%,0-0,-,0,,,,,,,,,,,,R16 (W15 Savitaipale)
2013,10,7,3,70.0%,15-4,78.9%,104-67,60.8%,2-0,100.0%,0,,,,,,,,,,,,SF (Amarante 10K)
2012,18,9,9,50.0%,20-19,51.3%,147-172,46.1%,2-0,100.0%,0,,,,,,,,,,,,SF (Zlin 25K)
2011,42,22,20,52.4%,47-49,49.0%,431-431,50.0%,2-4,33.3%,0,,,,,,,,,,,,F (RomeTiro A Volo 50K)
2010,20,9,11,45.0%,21-23,47.7%,203-204,49.9%,3-2,60.0%,0,,,,,,,,,,,,QF (3x)
2009,42,24,18,57.1%,56-43,56.6%,479-427,52.9%,4-2,66.7%,0,,,,,,,,,,,,W (Brno 25K)
2008,32,19,13,59.4%,42-28,60.0%,348-274,55.9%,2-3,40.0%,0,,,,,,,,,,,,W (Mestre 50K)
2007,22,13,9,59.1%,30-21,58.8%,247-212,53.8%,3-4,42.9%,0,,,,,,,,,,,,SF (2x)
2006,43,23,20,53.5%,51-41,55.4%,449-398,53.0%,5-6,45.5%,0,,,,,,,,,,,,F (Barcelona 75K)
2005,24,13,11,54.2%,28-26,51.9%,252-231,52.2%,2-2,50.0%,0,,,,,,,,,,,,W (Bucharest 3 10K)
2004,21,13,8,61.9%,29-19,60.4%,234-212,52.5%,5-1,83.3%,0,,,,,,,,,,,,F (Ancona 10K)
2003,13,5,8,38.5%,13-16,44.8%,125-133,48.4%,0-3,0.0%,0,,,,,,,,,,,,QF (Mollerusa 10K)
2002,15,9,6,60.0%,19-15,55.9%,151-147,50.7%,2-1,66.7%,0,,,,,,,,,,,,SF (Vigo 10K)
Career,334,183,151,54.8%,408-336,54.8%,3476-3179,52.2%,32-28,53.3%,0,,,,,,,,,,,,
