Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,13,7,6,53.8%,3,1,2,33.3%,2007,2012,R128,0,,,,,,,,,,
Roland Garros,6,Clay,11,5,6,45.5%,2,1,1,50.0%,2007,2012,R128,0,,,,,,,,,,
Wimbledon,6,Grass,11,5,6,45.5%,1,1,0,100.0%,2007,2012,Q3,0,,,,,,,,,,
US Open,6,Hard,7,1,6,14.3%,0,0,0,-,2007,2012,Q2,0,,,,,,,,,,
Estoril,5,Clay,12,6,6,50.0%,1,1,0,100.0%,2008,2012,R32,0,,,,,,,,,,
Barcelona,4,Clay,12,8,4,66.7%,0,0,0,-,2007,2012,QF,0,,,,,,,,,,
Moscow,3,Hard,7,4,3,57.1%,1,0,1,0.0%,2007,2011,R16,0,,,,,,,,,,
Marbella,2,Clay,6,4,2,66.7%,1,0,1,0.0%,2009,2011,R16,0,,,,,,,,,,
Kuala Lumpur,2,Hard,4,2,2,50.0%,0,0,0,-,2010,2011,R16,0,,,,,,,,,,
Bogota,2,Clay,2,0,2,0.0%,0,0,0,-,2008,2011,Q1,0,,,,,,,,,,
