Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Jiujiang F,L vs Blinkova,1.05,0.74,56.0,2.3,5.0%,55.0%,10.5%,42.1%,40.6%,31.0%
2025 Jiujiang SF,W vs Golubic,0.97,1.23,69.8,18.4,6.5%,56.5%,4.7%,69.8%,44.2%,50.0%
2025 Jiujiang R32,W vs Zhu,1.00,1.82,41.0,2.1,4.3%,69.6%,9.1%,72.7%,54.8%,50.0%
2025 (3 matches),,1.00,1.12,57.8,3.1,5.5%,58.7%,7.8%,60.2%,46.2%,44.3%
Career (3 matches),,1.00,1.12,57.8,3.1,5.5%,58.7%,7.8%,60.2%,46.2%,44.3%
