Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2009,391,95,,,,,,,,,300,205,,
2008,60,685,75,1735,83,1662,55,1747,101,1538,73,935,51,1662
2007,42,715,48,1788,50,1728,34,1788,95,1545,99,575,38,1666
2006,29,963,28,1866,35,1781,14,1880,66,1586,149,365,,
2005,51,692,42,1809,53,1718,20,1836,,,101,543,,
2004,58,685,47,1815,48,1745,25,1840,,,106,520,58,1627
2003,24,1185,25,1870,43,1754,10,1907,79,1579,123,435,,
2002,50,730,41,1851,42,1788,29,1826,82,1583,222,199,,
2001,67,562,30,1877,56,1738,21,1869,68,1615,263,194,,
2000,62,633,47,1834,62,1720,38,1819,,,394,100,,
1999,140,260,143,1627,204,1460,119,1625,,,222,269,,
1998,149,288,145,1625,,,126,1615,,,204,322,,
1997,244,163,,,,,,,,,656,44,,
1995,432,,,,,,,,,,,,,
