Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,13,3,10,23.1%,7-25,21.9%,123-180,40.6%,1-2,33.3%,13,65.1%,16.4%,6.4%,6.3%,55.5%,67.7%,44.9%,57.5%,32.2%,45.5%,0.76,R16 (2x)
2008,42,20,22,47.6%,51-55,48.1%,520-491,51.4%,4-11,26.7%,39,80.9%,22.1%,10.9%,4.5%,55.6%,76.0%,49.4%,64.2%,37.4%,50.7%,1.05,SF (2x)
2007,52,26,26,50.0%,69-64,51.9%,666-645,50.8%,11-11,50.0%,52,78.6%,23.5%,9.5%,4.9%,55.0%,74.3%,49.7%,63.2%,38.4%,50.6%,1.05,W (Dusseldorf)
2006,51,31,20,60.8%,71-52,57.7%,637-566,53.0%,12-11,52.2%,49,81.1%,24.7%,9.6%,4.1%,57.0%,75.6%,50.6%,64.8%,39.1%,51.7%,1.11,W (Kitzbuhel)
2005,43,22,21,51.2%,55-50,52.4%,521-513,50.4%,11-7,61.1%,42,76.7%,22.4%,8.9%,4.0%,56.2%,71.5%,50.4%,62.3%,38.3%,50.1%,1.01,F (Amersfoort)
2004,40,21,19,52.5%,54-46,54.0%,510-479,51.6%,6-8,42.9%,36,80.2%,24.1%,9.4%,4.2%,56.5%,73.8%,50.3%,63.6%,37.8%,50.5%,1.04,F (Costa Do Sauipe)
2003,57,34,23,59.6%,77-59,56.6%,700-630,52.6%,10-10,50.0%,54,78.0%,27.6%,9.1%,5.2%,53.3%,75.5%,48.4%,62.9%,39.9%,51.2%,1.07,W (Acapulco)
2002,48,25,23,52.1%,62-54,53.4%,578-547,51.4%,8-11,42.1%,47,78.2%,25.3%,6.4%,4.6%,57.1%,72.8%,50.8%,63.3%,39.4%,51.0%,1.07,F (Buenos Aires)
2001,28,12,16,42.9%,39-33,54.2%,376-348,51.9%,10-6,62.5%,27,79.2%,23.3%,7.7%,3.5%,57.4%,75.0%,49.3%,64.1%,37.9%,50.7%,1.05,SF (Costa Do Sauipe)
2000,19,13,6,68.4%,34-18,65.4%,280-231,54.8%,5-4,55.6%,16,82.4%,25.3%,11.4%,4.2%,48.2%,80.0%,53.4%,66.2%,38.4%,52.4%,1.14,SF (Kitzbuhel)
1999,6,3,3,50.0%,9-9,50.0%,93-80,53.8%,0-2,0.0%,6,79.1%,30.6%,8.8%,2.0%,48.1%,77.6%,49.3%,62.9%,40.4%,51.8%,1.09,QF (Umag)
Career,399,210,189,52.6%,528-465,53.2%,5004-4710,51.5%,78-83,48.4%,381,78.8%,24.2%,9.0%,4.4%,55.3%,74.4%,49.8%,63.4%,38.5%,50.8%,1.05,
