Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,147,66,81,44.9%,185-199,48.2%,1895-1935,49.5%,28-41,40.6%,140,79.1%,20.4%,9.7%,5.2%,54.6%,75.9%,49.7%,64.0%,36.6%,50.1%,1.02
Clay,225,135,90,60.0%,309-218,58.6%,2720-2347,53.7%,43-33,56.6%,216,78.8%,27.5%,8.6%,4.0%,55.4%,73.7%,50.2%,63.2%,40.2%,51.5%,1.09
Grass,14,4,10,28.6%,20-30,40.0%,240-272,46.9%,5-5,50.0%,14,77.5%,16.9%,7.4%,4.4%,58.8%,71.4%,50.1%,62.6%,34.3%,48.6%,0.92
Carpet,13,5,8,38.5%,14-18,43.8%,149-156,48.9%,2-4,33.3%,11,74.5%,29.8%,10.8%,3.0%,59.1%,73.8%,44.1%,61.6%,39.9%,50.6%,1.04
Grand Slams,51,18,33,35.3%,85-108,44.0%,949-1011,48.4%,15-22,40.5%,51,76.8%,20.5%,8.6%,4.8%,55.4%,73.4%,49.6%,62.8%,36.3%,49.6%,0.98
Masters,70,34,36,48.6%,80-83,49.1%,811-812,50.0%,16-16,50.0%,68,79.6%,21.1%,8.5%,4.9%,53.6%,75.7%,49.7%,63.6%,37.2%,50.3%,1.02
Other Tours,266,150,116,56.4%,342-263,56.5%,3078-2759,52.7%,45-43,51.1%,262,79.2%,26.2%,9.3%,4.2%,55.8%,74.4%,50.0%,63.6%,39.5%,51.3%,1.08
Best of 5,58,22,36,37.9%,99-117,45.8%,1066-1111,49.0%,17-23,42.5%,53,76.8%,20.6%,8.6%,4.8%,55.2%,73.5%,49.7%,62.8%,36.4%,49.6%,0.98
Best of 3,341,188,153,55.1%,429-348,55.2%,3938-3599,52.2%,61-60,50.4%,328,79.3%,25.1%,9.1%,4.3%,55.4%,74.7%,49.9%,63.6%,39.0%,51.1%,1.07
Finals,9,3,6,33.3%,9-14,39.1%,105-114,47.9%,1-1,50.0%,9,74.1%,22.0%,7.7%,4.2%,54.4%,72.1%,48.9%,61.5%,38.1%,49.6%,0.99
Semi-finals,24,8,16,33.3%,22-31,41.5%,241-264,47.7%,3-5,37.5%,24,72.8%,23.5%,9.0%,4.1%,54.8%,71.8%,44.6%,59.5%,38.0%,48.9%,0.94
Quarter-finals,47,24,23,51.1%,51-53,49.0%,509-507,50.1%,4-9,30.8%,46,77.4%,23.5%,8.8%,3.6%,57.4%,72.7%,48.1%,62.2%,37.9%,50.0%,1.00
vs Righties,350,183,167,52.3%,463-409,53.1%,4373-4156,51.3%,69-71,49.3%,334,78.7%,23.9%,9.1%,4.4%,55.0%,74.5%,49.9%,63.4%,38.4%,50.7%,1.05
vs Lefties,49,27,22,55.1%,65-56,53.7%,631-554,53.2%,9-12,42.9%,47,79.6%,26.5%,8.6%,4.4%,57.8%,73.8%,49.6%,63.6%,39.0%,51.4%,1.07
vs Top 10,39,11,28,28.2%,33-64,34.0%,450-539,45.5%,11-16,40.7%,37,74.4%,16.2%,8.1%,4.4%,53.1%,73.7%,46.6%,61.0%,35.0%,47.9%,0.90
