Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,84,30,54,35.7%,88-125,41.3%,1011-1094,48.0%,15-25,37.5%,78,80.2%,17.6%,10.3%,3.1%,58.4%,74.9%,48.4%,63.9%,34.3%,49.1%,0.95
Clay,33,10,23,30.3%,33-55,37.5%,385-452,46.0%,5-6,45.5%,32,70.7%,21.8%,6.7%,2.9%,59.3%,68.1%,47.3%,59.6%,36.5%,48.3%,0.90
Grass,23,10,13,43.5%,24-31,43.6%,267-288,48.1%,5-7,41.7%,23,81.8%,15.3%,9.9%,4.2%,60.4%,74.8%,51.7%,65.6%,33.1%,49.2%,0.96
Grand Slams,21,5,16,23.8%,25-47,34.7%,316-380,45.4%,4-7,36.4%,21,76.0%,15.1%,8.2%,3.8%,60.4%,71.3%,48.0%,62.1%,32.5%,47.6%,0.86
Masters,15,5,10,33.3%,14-22,38.9%,163-186,46.7%,1-5,16.7%,15,75.7%,19.4%,8.0%,3.3%,56.1%,71.9%,47.8%,61.3%,34.3%,48.4%,0.89
Other Tours,97,37,60,38.1%,98-129,43.2%,1097-1159,48.6%,19-25,43.2%,97,79.2%,19.0%,9.9%,3.0%,58.9%,74.0%,49.0%,63.7%,35.4%,49.4%,0.98
Best of 5,24,6,18,25.0%,29-55,34.5%,366-446,45.1%,5-8,38.5%,21,76.0%,15.1%,8.2%,3.8%,60.4%,71.3%,48.0%,62.1%,32.5%,47.6%,0.86
Best of 3,116,44,72,37.9%,116-156,42.6%,1297-1388,48.3%,20-30,40.0%,112,78.7%,19.0%,9.6%,3.1%,58.5%,73.7%,48.8%,63.4%,35.2%,49.2%,0.96
Semi-finals,2,0,2,0.0%,2-4,33.3%,26-34,43.3%,0-0,-,2,69.0%,19.4%,6.7%,1.1%,48.6%,77.0%,43.5%,59.8%,35.6%,47.9%,0.89
Quarter-finals,8,2,6,25.0%,8-13,38.1%,95-104,47.7%,1-2,33.3%,8,77.3%,19.2%,10.7%,3.0%,57.4%,74.1%,47.3%,62.7%,35.7%,48.8%,0.96
vs Righties,115,40,75,34.8%,116-177,39.6%,1354-1514,47.2%,18-34,34.6%,108,78.0%,17.9%,9.6%,3.4%,58.7%,72.9%,48.6%,62.9%,34.2%,48.6%,0.92
vs Lefties,25,10,15,40.0%,29-34,46.0%,309-320,49.1%,7-4,63.6%,25,78.5%,19.6%,8.4%,2.4%,59.9%,74.6%,48.8%,64.3%,36.5%,50.1%,1.02
vs Top 10,11,1,10,9.1%,4-24,14.3%,104-168,38.2%,1-4,20.0%,10,71.4%,9.7%,6.4%,3.8%,56.4%,71.0%,43.6%,59.0%,27.6%,44.0%,0.67
