Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 M25 Chiswick SF,W vs Matusevich,57% (8/14),75% (6/8),0/2,38% (5/13),40% (2/5),3/4,0/0,1/2,0/0,0/0
2019 M25 Chiswick R16,W vs Broom,33% (7/21),71% (5/7),0/1,25% (5/20),80% (4/5),4/5,2/3,2/2,0/0,0/0
2019 M25 Dublin F,W vs Peniston,50% (6/12),67% (4/6),1/3,23% (3/13),0% (0/3),3/4,1/3,1/1,0/2,0/0
2019 M25 Dublin SF,W vs Carr,33% (5/15),60% (3/5),0/0,20% (3/15),67% (2/3),3/3,2/2,1/2,1/1,0/0
2019 M25 Dublin QF,W vs Hurrion,30% (3/10),67% (2/3),1/1,9% (1/11),0% (0/1),2/2,1/1,2/2,1/1,0/0
2019 M25 Dublin R16,W vs Hodkin,67% (6/9),83% (5/6),0/1,13% (1/8),0% (0/1),4/4,1/1,0/0,0/0,0/0
2019 M15 Den Haag QF,W vs Guinard,71% (5/7),100% (5/5),0/0,29% (2/7),100% (2/2),3/3,0/0,0/0,0/0,0/0
2019 M15 Den Haag R32,W vs Hermans,55% (6/11),83% (5/6),0/0,0% (0/9),- (0/0),4/4,1/2,0/0,0/0,0/0
2019 M25 Doboj SF,L vs Van De Zandschulp,40% (6/15),50% (3/6),1/4,35% (6/17),17% (1/6),2/2,0/0,1/3,0/0,0/1
2019 M25 Doboj QF,W vs Drinic,50% (6/12),67% (4/6),1/3,38% (5/13),20% (1/5),3/3,1/1,1/1,1/1,0/0
2019 M25 Doboj R16,W vs Sude,70% (7/10),86% (6/7),1/1,13% (1/8),0% (0/1),3/4,1/1,0/0,0/0,0/0
2019 M25 Sunderland SF,L vs Artunedo Martinavarro,13% (1/8),100% (1/1),0/3,75% (6/8),17% (1/6),0/1,0/0,0/2,0/0,0/1
2019 M25 Sunderland QF,W vs Mertens,67% (6/9),50% (3/6),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2019 M25 Sunderland R16,W vs Griffith,33% (3/9),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2019 M25 Sunderland R32,W vs Broady,50% (6/12),100% (6/6),0/2,36% (4/11),25% (1/4),4/5,1/1,0/1,0/0,0/0
2019 M25 Bolton F,L vs Van De Zandschulp,28% (5/18),60% (3/5),1/3,28% (5/18),20% (1/5),2/3,0/2,3/4,0/0,1/2
2019 M25 Bolton SF,W vs Glasspool,86% (6/7),83% (5/6),0/0,0% (0/7),- (0/0),5/5,2/2,0/0,1/1,0/0
2019 M25 Bolton QF,W vs Hoyt,63% (5/8),100% (5/5),1/1,25% (2/8),50% (1/2),4/5,2/2,0/0,1/1,0/0
2019 M25 Bolton R32,W vs Durasovic,71% (5/7),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2019 M15 Sharm El Sheikh F,W vs Soares Klier Junior,42% (5/12),80% (4/5),0/1,25% (3/12),67% (2/3),4/4,2/2,1/1,1/1,0/0
2019 (32 matches),,46.9%,77.2%,29.3%,24.7%,37.3%,88.0%,80.4%,60.7%,88.9%,40.0%
2018 (22 matches),,44.8%,78.6%,34.1%,34.7%,37.8%,82.2%,80.0%,73.7%,71.4%,62.5%
2017 (27 matches),,41.6%,69.4%,23.2%,40.6%,32.2%,69.3%,85.7%,70.0%,77.8%,70.0%
2016 (42 matches),,38.6%,72.2%,18.1%,33.7%,23.6%,81.3%,85.7%,63.6%,78.9%,59.1%
2015 (25 matches),,33.0%,56.3%,11.8%,22.6%,43.1%,87.5%,91.3%,90.3%,88.9%,71.4%
Career (288 matches),,35.0%,70.1%,20.7%,29.3%,33.1%,83.3%,85.9%,76.0%,83.5%,69.9%
