Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2016 Quimper CH QF,L vs Mathieu,32.7%,34.7%,34.4%,32.7%,44.4%,44.4%,46.7%,44.4%,58.3%,33.3%,66.7%,19.0%,23.8%,23.5%,-10
2016 Manila CH R32,W vs Gonzales,45.9%,56.8%,75.0%,53.5%,51.7%,58.6%,78.6%,61.4%,69.2%,56.3%,-,25.0%,50.0%,66.7%,-79
2015 Brescia CH QF,W vs Dustov,50.9%,64.2%,58.3%,58.9%,63.2%,78.9%,71.4%,74.2%,88.2%,52.4%,0.0%,23.1%,30.8%,40.0%,102
2013 Dusseldorf SF,L vs Nieminen,14.0%,30.2%,54.3%,21.9%,24.4%,48.8%,61.3%,41.0%,56.5%,33.3%,-,4.9%,14.6%,48.7%,-66
Career (4 matches),,32.0%,43.6%,53.4%,38.1%,45.2%,58.5%,63.5%,55.4%,67.7%,44.3%,50.0%,13.3%,22.9%,43.1%,-9
