Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,105,722,,,,,,,,,448,151,,
2019,79,770,68,1784,75,1723,43,1742,75,1622,398,161,,
2018,53,1010,37,1867,39,1819,31,1772,50,1685,277,250,,
2017,58,1025,38,1833,34,1790,36,1752,37,1684,918,20,,
2016,32,1490,22,1891,25,1835,24,1809,25,1730,336,160,,
2015,92,690,96,1710,89,1672,75,1668,115,1529,236,262,,
2014,59,880,72,1753,85,1684,42,1751,69,1606,644,40,,
2013,56,1061,62,1767,70,1689,53,1708,51,1660,1161,10,,
2012,124,564,83,1745,67,1718,122,1601,,,293,205,,
2011,211,286,197,1493,195,1457,173,1462,,,1006,15,,
2010,652,35,,,,,,,,,,,,
