Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Madrid R64,L vs Collins,29.4%,33.8%,23.3%,28.6%,33.3%,30.0%,14.3%,52.4%,57.1%,38.1%,42.9%,7.7%,22.2%,33.3%,0.0%,128
2019 Wimbledon R64,L vs Pliskova,21.4%,28.6%,36.6%,33.3%,39.4%,31.8%,0.0%,44.4%,25.0%,5.0%,15.0%,42.1%,0.0%,45.5%,50.0%,-69
2019 Strasbourg QF,L vs Sabalenka,23.8%,32.7%,33.3%,28.4%,38.8%,37.5%,38.9%,38.7%,42.9%,17.2%,24.1%,25.0%,20.0%,63.2%,60.0%,51
2019 Charleston R16,W vs Sabalenka,28.1%,40.6%,53.5%,34.3%,51.4%,60.9%,40.0%,53.3%,100.0%,23.1%,30.8%,45.0%,22.2%,88.2%,50.0%,21
2019 Miami R128,L vs Wang,17.6%,25.5%,36.8%,22.2%,27.8%,35.7%,47.1%,26.3%,14.3%,9.1%,27.3%,40.0%,50.0%,40.0%,-,-42
2018 Miami R16,L vs Collins,25.3%,33.3%,40.8%,28.8%,37.9%,44.7%,30.3%,27.3%,0.0%,20.0%,26.7%,33.3%,28.6%,25.0%,50.0%,6
2017 Tokyo R16,L vs Muguruza,20.7%,27.6%,37.5%,25.0%,33.3%,40.7%,28.6%,36.4%,42.9%,18.8%,25.0%,30.8%,25.0%,37.5%,50.0%,54
2017 Indian Wells R64,L vs Pliskova,21.6%,33.8%,47.2%,31.0%,45.2%,48.3%,37.5%,33.3%,50.0%,11.1%,22.2%,45.8%,9.1%,68.8%,100.0%,-11
2016 US Open R128,L vs Zheng,16.0%,30.0%,45.2%,10.3%,20.7%,38.5%,33.3%,50.0%,25.0%,23.8%,42.9%,56.3%,20.0%,50.0%,-,-104
2016 Olympics F,W vs Kerber,8.7%,20.4%,58.9%,8.1%,21.0%,64.9%,41.2%,50.0%,66.7%,10.8%,21.6%,48.5%,46.2%,54.2%,57.1%,-6
2016 Olympics SF,W vs Kvitova,26.0%,32.5%,42.6%,29.8%,38.3%,39.4%,40.0%,36.4%,66.7%,22.2%,25.9%,47.6%,36.4%,37.5%,50.0%,17
2016 Roland Garros R32,L vs Keys,21.1%,30.0%,40.3%,16.4%,29.1%,45.7%,21.7%,50.0%,57.1%,32.3%,35.5%,28.6%,5.6%,61.5%,100.0%,34
2016 Rome R64,W vs Svitolina,25.8%,38.7%,48.5%,32.7%,50.9%,56.8%,50.0%,51.9%,50.0%,16.2%,21.6%,38.7%,37.5%,57.1%,100.0%,-72
2016 Prague QF,L vs Kuznetsova,12.6%,23.3%,51.2%,15.9%,30.4%,55.2%,50.0%,56.4%,50.0%,6.7%,10.0%,42.9%,28.6%,50.0%,50.0%,-51
2016 Miami R128,W vs Bellis,30.0%,32.2%,40.4%,29.4%,33.3%,36.1%,60.0%,42.3%,28.6%,36.4%,36.4%,47.6%,14.3%,68.4%,100.0%,82
2016 Indian Wells R64,W vs Schmiedlova,32.1%,33.9%,40.5%,36.1%,36.1%,30.4%,41.2%,47.4%,50.0%,26.3%,31.6%,57.1%,42.9%,33.3%,0.0%,-43
2016 Australian Open R32,L vs Radwanska,6.3%,18.8%,41.9%,5.7%,22.9%,45.5%,29.4%,27.8%,40.0%,9.1%,9.1%,30.0%,0.0%,50.0%,-,-30
2016 Australian Open R64,W vs Pliskova,28.7%,38.5%,57.8%,34.7%,48.6%,66.0%,28.1%,20.0%,0.0%,21.7%,26.1%,47.2%,29.2%,36.4%,33.3%,-30
2016 Sydney F,L vs Kuznetsova,17.5%,22.5%,29.0%,25.0%,35.0%,33.3%,36.4%,22.2%,0.0%,11.1%,11.1%,25.0%,12.5%,20.0%,50.0%,-4
2015 Indian Wells R128,W vs Gibbs,33.9%,40.7%,52.6%,47.4%,57.9%,65.0%,31.6%,31.6%,50.0%,9.5%,9.5%,42.1%,28.6%,42.9%,100.0%,-49
Career (24 matches),,23.1%,31.6%,44.9%,27.3%,37.8%,47.6%,35.9%,39.3%,38.8%,19.1%,25.0%,40.7%,24.4%,49.1%,53.7%,42
