Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,1,0,1,0.0%,0-2,0.0%,5-13,27.8%,0-0,-,1,33.3%,22.2%,0.0%,7.4%,60.3%,51.2%,33.3%,44.1%,32.7%,39.3%,0.58,R64 (Madrid)
2020,2,0,2,0.0%,1-4,20.0%,13-30,30.2%,1-0,100.0%,2,35.0%,17.4%,2.2%,8.9%,64.4%,55.2%,31.3%,46.7%,39.3%,42.9%,0.74,R128 (2x)
2019,38,19,19,50.0%,46-42,52.3%,426-391,52.1%,4-6,40.0%,38,70.2%,34.5%,4.8%,5.0%,61.7%,64.6%,48.5%,58.4%,43.0%,50.9%,1.03,SF (Charleston)
2018,32,18,14,56.3%,39-31,55.7%,332-322,50.8%,3-3,50.0%,31,68.8%,33.6%,4.3%,4.8%,61.8%,66.2%,45.9%,58.4%,42.3%,50.4%,1.02,SF (New Haven)
2017,44,23,21,52.3%,53-52,50.5%,484-452,51.7%,5-3,62.5%,44,69.7%,35.7%,5.3%,5.0%,59.9%,66.7%,47.9%,59.1%,43.6%,51.2%,1.07,F (Luxembourg)
2016,70,46,24,65.7%,95-59,61.7%,761-594,56.2%,3-5,37.5%,63,71.8%,36.9%,4.9%,5.1%,61.8%,65.1%,49.5%,59.1%,44.5%,51.9%,1.09,W (Olympics)
2015,38,15,23,39.5%,37-49,43.0%,409-423,49.2%,5-11,31.3%,32,69.5%,30.2%,5.9%,5.4%,61.1%,64.7%,51.9%,59.7%,38.3%,49.2%,0.95,SF (Pattaya)
2014,37,19,18,51.4%,44-40,52.4%,409-368,52.6%,4-3,57.1%,33,-,-,4.5%,6.4%,60.4%,66.3%,46.2%,58.3%,42.6%,50.3%,1.02,W (Strasbourg)
2013,28,13,15,46.4%,33-33,50.0%,322-322,50.0%,5-3,62.5%,27,-,-,3.7%,3.7%,61.9%,62.5%,50.3%,57.8%,43.4%,50.4%,1.03,QF (2x)
2012,7,5,2,71.4%,10-5,66.7%,80-51,61.1%,1-1,50.0%,1,-,-,6.3%,4.7%,50.0%,62.5%,53.1%,57.8%,30.0%,44.4%,0.71,
2011,1,0,1,0.0%,1-2,33.3%,17-17,50.0%,0-1,0.0%,1,-,-,1.6%,5.5%,59.8%,64.5%,41.2%,55.1%,45.8%,50.6%,1.02,R64 (Charleston)
2010,4,2,2,50.0%,4-5,44.4%,41-38,51.9%,0-1,0.0%,0,,,,,,,,,,,,
2009,3,1,2,33.3%,3-5,37.5%,28-42,40.0%,0-0,-,0,,,,,,,,,,,,
2008,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,
Career,306,161,145,52.6%,366-331,52.5%,3333-3075,52.0%,31-37,45.6%,273,69.8%,34.5%,4.8%,5.1%,61.2%,65.1%,48.4%,58.6%,42.7%,50.6%,1.03,
