Date,Tournament,Surface,Rd,,Score
18-Sep-1970,Charlotte,Clay,F,Margaret Court [AUS] / Virginia Wade [GBR] d. Richey / Francoise Durr [FRA],1-Oct
04-May-1970,Sacramento,Hard,F,Richey / Valerie Ziegenfuss [USA] d. Denise Carter / Kristy Pigeon [USA],6-2 6-2
16-Apr-1970,Charlotte Spring,Clay,F,Richey / Ada Bakker [NED] d. Kathleen Harter [USA] / Eva Lundquist [SWE],6-3 4-6 6-4
04-Mar-1970,Pompano Beach,Clay,F,Richey / Peaches Bartkowicz [USA] d. Kathleen Harter / Patti Hogan [USA],6-2 6-1
25-Feb-1970,Boston,Carpet,F,Richey / Peaches Bartkowicz [USA] d. Mary Ann Eisel / Valerie Ziegenfuss [USA],8-6 6-4
26-May-1969,Roland Garros,Clay,F,(3) Francoise Durr [FRA] / Ann Jones [GBR] d. (1) Richey / Margaret Court [AUS],6-0 4-6 7-5
25-May-1969,Fed Cup WG F: AUS vs USA,Clay,RR,Richey / Peaches Bartkowicz [USA] d. Margaret Court / Judy Tegart [AUS],6-4 6-4
24-May-1969,Fed Cup WG SF: USA vs NED,Clay,RR,Richey / Peaches Bartkowicz [USA] d. Ada Bakker / Betty Stove [NED],6-2 4-6 6-3
23-May-1969,Fed Cup WG QF: USA vs ITA,Clay,RR,Richey / Peaches Bartkowicz [USA] d. Lucia Bassi / Lea Pericoli [ITA],4-6 8-6 6-0
21-May-1969,Fed Cup WG R2: USA vs YUG,Clay,RR,Richey / Peaches Bartkowicz [USA] d. Lena Dvornik / Irena Skulj [YUG],6-1 6-0
01-Apr-1969,Johannesburg,Hard,F,Francoise Durr [FRA] / Ann Jones [GBR] d. Richey / Virginia Wade [GBR],6-2 3-6 6-4
25-Feb-1969,Curacao,Hard,F,Margaret Court / Judy Tegart [AUS] d. Richey / Julie Heldman [USA],6-4 6-2
28-Oct-1968,Richmond,Clay,F,Richey / Maria Bueno [BRA] d. Marilyn Aschner / Peaches Bartkowicz [USA],6-1 6-2
15-Jul-1968,Milwaukee,Clay,F,Richey / Valerie Ziegenfuss [USA] d. Peaches Bartkowicz / Stephanie Defina [USA],6-0 6-2
14-Jun-1968,Wightman Cup,Grass,RR,Winnie Shaw / Virginia Wade [GBR] d. Richey / Mary Ann Eisel [USA],5-7 6-4 6-3
26-Jun-1967,Wimbledon,Grass,F,Billie Jean King / Rosie Casals [USA] d. Richey / Maria Bueno [BRA],9-11 6-4 6-2
01-Sep-1966,US National Championships,Grass,F,(1) Richey / Maria Bueno [BRA] d. (2) Rosie Casals / Billie Jean King [USA],6-3 6-4
20-Jun-1966,Wimbledon,Grass,F,(2) Richey / Maria Bueno [BRA] d. (1) Margaret Court / Judy Tegart [AUS],6-3 4-6 6-4
21-Jan-1966,Australian Championships,Grass,F,(2) Richey / Carole Graebner [USA] d. (1) Margaret Court / Lesley Turner [AUS],6-4 7-5
03-Sep-1965,US National Championships,Grass,F,Richey / Carole Graebner [USA] d. Billie Jean King / Karen Susman [USA],6-4 6-4
