Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Tokyo SF,L vs Bencic,50,24,2.1,26.9%,12.9%,48,19,2.5,28.9%,11.4%,12.7%,16.3%,2.3,25.8%,11.3%
2025 Tokyo QF,W vs Alexandrova,43,36,1.2,22.3%,18.7%,40,30,1.3,23.8%,17.9%,8.9%,14.9%,1.6,22.3%,14.0%
2025 Beijing R32,L vs Paolini,9,25,0.4,8.9%,24.8%,8,22,0.4,8.7%,23.9%,4.3%,4.3%,1.3,24.8%,18.8%
2025 Seoul R16,L vs Joint,10,38,0.3,9.6%,36.5%,10,31,0.3,11.1%,34.4%,5.6%,5.6%,0.9,15.4%,16.3%
2025 Montreal R64,L vs Mboko,15,17,0.9,12.8%,14.5%,15,16,0.9,14.9%,15.8%,6.9%,7.9%,2.4,24.8%,10.3%
2025 Wimbledon R64,L vs Bouzas Maneiro,15,15,1.0,10.4%,10.4%,14,14,1.0,10.9%,10.9%,4.7%,6.3%,1.6,21.5%,13.9%
2025 Roland Garros R128,W vs Gracheva,21,11,1.9,19.4%,10.2%,19,8,2.4,19.6%,8.2%,12.4%,7.2%,0.7,12.0%,17.6%
2025 Charleston F,L vs Pegula,28,39,0.7,20.6%,28.7%,27,33,0.8,21.8%,26.6%,11.3%,10.5%,1.2,14.0%,11.8%
2025 Charleston QF,W vs Kalinskaya,24,13,1.8,22.0%,11.9%,23,10,2.3,24.0%,10.4%,10.4%,13.5%,1.5,16.5%,11.0%
2025 Charleston R16,W vs Kasatkina,36,43,0.8,23.7%,28.3%,34,39,0.9,25.0%,28.7%,11.0%,14.0%,0.6,13.2%,20.4%
2025 Charleston R32,W vs Bencic,24,16,1.5,22.4%,15.0%,19,13,1.5,20.0%,13.7%,8.4%,10.5%,0.7,13.1%,19.6%
2025 Miami R64,L vs Gauff,7,24,0.3,10.4%,35.8%,7,22,0.3,11.3%,35.5%,4.8%,6.5%,3.5,20.9%,6.0%
2025 Dubai QF,L vs Rybakina,23,21,1.1,16.1%,14.7%,23,20,1.2,18.9%,16.4%,7.4%,9.8%,2.4,31.5%,13.3%
2025 Dubai R32,W vs Kostyuk,28,53,0.5,11.3%,21.5%,28,49,0.6,12.4%,21.8%,4.9%,7.6%,0.9,19.8%,22.3%
2025 Doha R32,W vs Parks,18,25,0.7,8.9%,12.3%,16,23,0.7,9.4%,13.5%,5.3%,3.5%,0.8,20.7%,24.6%
2025 Doha R64,W vs Krueger,24,10,2.4,20.7%,8.6%,23,8,2.9,22.1%,7.7%,10.6%,11.5%,1.3,15.5%,12.1%
2025 Australian Open R128,L vs Gauff,13,25,0.5,9.7%,18.7%,10,25,0.4,9.1%,22.7%,3.6%,5.5%,0.9,20.9%,22.4%
2024 Tokyo F,L vs Zheng,10,17,0.6,6.7%,11.4%,10,14,0.7,7.8%,10.9%,1.6%,6.3%,2.4,22.1%,9.4%
2024 Tokyo SF,W vs Boulter,26,9,2.9,21.3%,7.4%,24,9,2.7,22.0%,8.3%,9.2%,12.8%,1.6,23.0%,14.8%
2024 Tokyo R32,W vs Wang,22,13,1.7,18.3%,10.8%,20,10,2.0,18.5%,9.3%,12.0%,6.5%,1.2,17.5%,15.0%
Career (141 matches),,3208,4064,0.8,15.1%,19.2%,3014,3600,0.8,15.9%,19.0%,6.3%,6.4%,0.9,16.0%,17.7%
