Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,9,8,52.9%,7,3,4,42.9%,2018,2026,W,17,0.97,1.9%,2.6%,70.5%,65.6%,51.1%,61.3%,37.7%,65.3%,37.8%
Roland Garros,8,Clay,24,16,8,66.7%,1,1,0,100.0%,2017,2025,F,22,1.06,1.6%,5.4%,65.5%,62.6%,44.2%,56.2%,46.3%,59.0%,50.7%
Wimbledon,7,Grass,16,9,7,56.3%,3,1,2,33.3%,2017,2025,R32,15,1.07,1.8%,3.1%,72.0%,65.5%,50.8%,61.4%,41.5%,57.3%,45.3%
US Open,10,Hard,21,11,10,52.4%,9,6,3,66.7%,2015,2025,R16,21,1.03,2.1%,5.8%,68.0%,64.5%,46.1%,58.6%,42.8%,56.7%,41.7%
Fed Cup,3,,6,2,4,33.3%,3,2,1,66.7%,2018,2020,,6,0.98,0.8%,4.2%,66.5%,61.2%,39.8%,54.0%,44.9%,49.1%,38.0%
Miami,7,Hard,15,8,7,53.3%,2,1,1,50.0%,2018,2026,R32,15,1.02,2.0%,5.2%,67.2%,60.9%,48.2%,56.7%,44.1%,49.2%,57.9%
Indian Wells,9,Hard,15,6,9,40.0%,4,0,4,0.0%,2016,2026,R64,15,0.99,1.0%,6.2%,64.2%,63.7%,43.6%,56.5%,43.2%,60.6%,44.9%
Dubai,7,Hard,12,5,7,41.7%,6,3,3,50.0%,2019,2026,QF,12,0.92,2.5%,5.4%,67.8%,63.3%,47.0%,58.0%,38.7%,49.4%,47.1%
Doha,6,Hard,9,3,6,33.3%,3,2,1,66.7%,2020,2026,R16,9,0.93,1.4%,3.2%,72.3%,60.6%,50.0%,57.7%,39.2%,60.8%,37.7%
Abu Dhabi,4,Hard,9,5,4,55.6%,4,4,0,100.0%,2021,2026,QF,9,0.87,3.6%,4.3%,67.5%,58.7%,44.7%,54.2%,40.0%,55.8%,38.2%
Adelaide,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2020,2026,R16,3,0.87,5.9%,5.3%,71.8%,65.2%,41.5%,58.5%,36.2%,55.6%,43.8%
