Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,162,77,85,47.5%,166-179,48.1%,1541-1583,49.3%,20-19,51.3%,0,,,,,,,,,,,
Clay,118,65,53,55.1%,138-117,54.1%,1190-1106,51.8%,12-6,66.7%,0,,,,,,,,,,,
Grass,181,106,75,58.6%,229-159,59.0%,1890-1634,53.6%,13-14,48.1%,0,,,,,,,,,,,
Carpet,129,54,75,41.9%,121-160,43.1%,1210-1326,47.7%,8-12,40.0%,0,,,,,,,,,,,
Grand Slams,116,62,54,53.4%,142-120,54.2%,1236-1151,51.8%,11-8,57.9%,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,0,,,,,,,,,,,
Finals,15,9,6,60.0%,17-12,58.6%,139-137,50.4%,3-2,60.0%,0,,,,,,,,,,,
Semi-finals,33,14,19,42.4%,32-38,45.7%,327-337,49.2%,2-3,40.0%,0,,,,,,,,,,,
Quarter-finals,61,32,29,52.5%,70-59,54.3%,607-557,52.1%,1-5,16.7%,0,,,,,,,,,,,
vs Righties,283,123,160,43.5%,275-329,45.5%,2606-2844,47.8%,26-25,51.0%,0,,,,,,,,,,,
vs Lefties,38,12,26,31.6%,28-57,32.9%,326-445,42.3%,3-2,60.0%,0,,,,,,,,,,,
vs Top 10,48,4,44,8.3%,13-84,13.4%,289-553,34.3%,3-3,50.0%,0,,,,,,,,,,,
