Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1995,292,3,224,1605,208,1550,220,1548,98,1577,,,,
1994,348,2,194,1614,202,1555,185,1566,83,1595,,,,
1993,192,6,168,1653,166,1588,181,1584,59,1642,,,,
1992,59,19,79,1763,94,1665,110,1653,38,1703,,,,
1991,62,19,87,1758,94,1673,129,1629,39,1682,,,,
1990,64,17,102,1718,100,1630,,,43,1681,,,,
1989,117,10,101,1700,102,1615,105,1619,46,1666,,,,
1988,60,14,53,1780,52,1684,59,1672,32,1703,,,,
1987,73,11,47,1803,39,1713,52,1684,36,1709,,,,
1986,24,28,37,1843,38,1732,47,1714,28,1732,,,,
1985,26,,24,1870,33,1733,32,1768,14,1811,,,,
1984,24,,14,1954,15,1841,19,1843,11,1874,,,,
1983,,,5,2086,6,1948,11,1939,5,1956,,,,
1982,,,23,1849,28,1716,24,1766,18,1752,,,,
1981,,,22,1849,23,1705,19,1770,21,1727,,,,
1980,,,53,1710,57,1574,36,1672,42,1637,,,,
1979,,,61,1645,80,1479,54,1582,52,1583,,,,
1978,,,115,1501,,,87,1468,96,1457,,,,
1977,,,80,1574,,,80,1514,59,1557,,,,
