Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Budapest F,L vs Timofeeva,89.2%,37.9%,4.1%,2/1,2.56,1.8%,94.1%,35.4%,5.9%,2.62,2.2%,85.7%,44.4%,0.0%,2.38,0.0%
2023 Roland Garros R128,L vs Danilovic,81.8%,51.9%,9.1%,3/3,2.23,2.4%,80.0%,56.3%,5.0%,2.21,3.3%,91.7%,45.5%,16.7%,2.28,0.0%
2023 Australian Open R32,L vs Ostapenko,75.0%,27.8%,20.8%,2/8,2.59,2.4%,84.6%,13.6%,26.9%,2.66,3.0%,87.5%,50.0%,18.8%,2.34,0.0%
2022 Andorra R16,L vs Bucsa,69.6%,43.8%,10.9%,4/1,2.34,4.9%,64.3%,38.9%,17.9%,2.41,6.1%,87.5%,50.0%,0.0%,2.09,0.0%
2022 Montevideo SF,L vs Shnaider,83.3%,45.5%,3.0%,1/1,2.14,0.0%,76.2%,37.5%,2.4%,2.07,0.0%,95.8%,56.5%,4.2%,2.29,0.0%
2022 Montevideo R16,W vs Fruhvirtova,88.7%,60.0%,6.5%,2/2,2.87,0.0%,88.6%,53.8%,4.5%,2.77,0.0%,100.0%,75.0%,12.5%,3.08,0.0%
2022 s Hertogenbosch R32,L vs Sabalenka,50.7%,44.1%,1.5%,0/1,2.97,10.3%,55.8%,54.2%,0.0%,2.93,13.8%,76.9%,20.0%,7.7%,3.09,0.0%
2021 Indian Wells R128,L vs Samsonova,62.7%,53.2%,6.7%,3/2,2.68,0.0%,56.4%,54.5%,7.7%,2.78,0.0%,80.6%,52.0%,6.5%,2.54,0.0%
2019 Charleston R32,L vs Sabalenka,64.7%,54.5%,9.4%,4/4,2.54,8.5%,67.3%,54.1%,7.3%,2.52,13.6%,94.7%,55.6%,21.1%,2.58,0.0%
2019 Indian Wells R32,L vs Halep,80.6%,44.4%,3.0%,2/0,2.54,1.1%,82.9%,41.2%,0.0%,2.49,1.6%,90.9%,50.0%,9.1%,2.64,0.0%
2019 Indian Wells R64,W vs Sasnovich,77.2%,57.4%,12.7%,2/8,2.01,1.6%,83.0%,56.4%,8.5%,1.95,2.0%,84.6%,59.1%,23.1%,2.22,0.0%
2019 Australian Open R128,L vs Hruncakova,61.8%,42.6%,10.5%,6/2,2.32,9.1%,58.7%,48.1%,6.5%,2.41,14.0%,87.0%,35.0%,21.7%,2.14,0.0%
2018 Roland Garros R64,L vs Siniakova,85.4%,47.4%,0.0%,0/0,2.56,4.9%,86.2%,46.0%,0.0%,2.69,6.7%,92.9%,50.0%,0.0%,2.20,0.0%
2018 Roland Garros R128,W vs Ostapenko,67.9%,58.5%,2.6%,0/2,2.68,4.9%,78.4%,58.6%,2.7%,2.71,7.1%,85.7%,58.3%,3.6%,2.63,0.0%
2018 Taipei F,L vs Babos,59.3%,46.9%,11.1%,3/3,2.39,7.3%,45.5%,46.7%,3.0%,2.54,12.1%,94.4%,47.1%,27.8%,2.16,0.0%
2017 Tashkent QF,L vs Sabalenka,71.8%,48.8%,7.7%,2/7,2.77,4.6%,68.8%,52.3%,4.7%,2.93,4.4%,90.9%,45.0%,13.6%,2.41,5.0%
2017 ITF Trnava QF,L vs Potapova,84.4%,35.2%,4.7%,3/0,2.67,2.9%,87.2%,31.7%,2.1%,2.71,4.0%,86.7%,46.2%,13.3%,2.58,0.0%
2016 Tashkent SF,L vs Pliskova,61.7%,54.1%,6.7%,3/1,2.44,13.8%,53.8%,47.6%,0.0%,2.34,18.4%,80.0%,62.5%,20.0%,2.62,5.0%
2016 St Petersburg R16,W vs Vesnina,75.7%,56.6%,2.9%,1/1,2.39,13.3%,69.0%,62.1%,2.4%,2.48,18.2%,96.0%,50.0%,4.0%,2.13,0.0%
2015 Dubai R64,W vs Watson,72.3%,48.9%,9.2%,2/3,2.60,2.5%,78.1%,44.0%,12.5%,2.48,4.5%,78.6%,54.5%,7.1%,2.74,0.0%
Career (20 matches),,73.3%,48.4%,6.8%,46.9%,2.50,5.1%,73.5%,46.8%,5.3%,2.53,7.1%,88.4%,50.7%,11.2%,2.44,0.6%
