Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R64 (W60 Olomouc)
2021,1,0,1,0.0%,1-2,33.3%,16-16,50.0%,0-1,0.0%,0,,,,,,,,,,,,R32 (W60 Bellinzona)
2020,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,0,,,,,,,,,,,,R32 (W25 Canberra (Bendigo))
2019,20,9,11,45.0%,21-23,47.7%,203-204,49.9%,2-4,33.3%,1,25.0%,25.0%,0.0%,7.7%,61.5%,53.1%,20.0%,40.4%,37.0%,38.8%,0.62,QF (W100 Trnava)
2018,7,2,5,28.6%,5-9,35.7%,57-69,45.2%,1-0,100.0%,0,,,,,,,,,,,,R16 (2x)
2017,12,6,6,50.0%,11-13,45.8%,106-112,48.6%,3-1,75.0%,5,65.9%,41.5%,4.2%,3.8%,73.1%,61.6%,42.9%,56.5%,48.2%,52.2%,1.11,F (Limoges)
2016,25,14,11,56.0%,30-27,52.6%,253-251,50.2%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
2015,47,28,19,59.6%,60-44,57.7%,508-471,51.9%,5-3,62.5%,0,,,,,,,,,,,,W (Stuttgart Stammheim $10K)
2014,16,9,7,56.3%,19-17,52.8%,170-165,50.7%,2-0,100.0%,0,,,,,,,,,,,,W (Braunschweig 15K)
2013,28,20,8,71.4%,42-23,64.6%,329-264,55.5%,0-4,0.0%,0,,,,,,,,,,,,W (2x)
2012,7,3,4,42.9%,7-9,43.8%,75-84,47.2%,2-1,66.7%,0,,,,,,,,,,,,R16 (3x)
2011,12,7,5,58.3%,15-12,55.6%,126-115,52.3%,0-1,0.0%,0,,,,,,,,,,,,W (Stockholm 10K)
2010,2,1,1,50.0%,2-3,40.0%,23-27,46.0%,0-1,0.0%,0,,,,,,,,,,,,R16 (Braunschweig 10K)
Career,179,99,80,55.3%,213-186,53.4%,1877-1803,51.0%,18-18,50.0%,6,59.2%,38.8%,3.5%,4.5%,71.2%,60.4%,37.8%,53.8%,46.6%,50.2%,1.01,
