Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-31),1292,5,,,,,,,,,,,,
2020,179,395,,,,,,,,,,,,
2019,160,375,123,1656,157,1552,120,1596,95,1588,791,39,,
2018,194,301,174,1557,200,1444,155,1503,91,1574,,,,
2018,194,301,174,1557,200,1444,155,1503,91,1574,,,,
2017,154,375,111,1668,119,1608,93,1619,88,1584,454,110,,
2016,181,313,159,1564,175,1461,174,1434,,,299,190,,
2015,282,154,,,,,,,,,246,252,,
2014,438,65,,,,,,,,,146,486,,
2013,416,99,,,,,,,,,472,103,,
2012,788,20,,,,,,,,,439,103,,
2011,903,15,,,,,,,,,995,16,,
