Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2006 US Open R64,W vs Baghdatis,4.9,5.7,4.2,49.2%,59.2%,60.0%,43.4%,36.6%,14.8%,29.5,11.4,29.5,7.6
2006 US Open R128,W vs Pavel,4.2,3.8,4.5,49.2%,54.9%,61.8%,42.4%,47.2%,12.5%,24.5,9.3,2.5,1.0
2006 Wimbledon R32,L vs Nadal,3.9,4.3,3.4,46.0%,50.0%,45.8%,16.7%,52.2%,14.5%,-11.0,-7.3,-4.5,-3.8
2005 US Open F,L vs Federer,3.9,4.7,2.8,44.2%,37.7%,57.1%,52.9%,48.6%,17.0%,13.5,7.9,2.0,1.3
2005 US Open SF,W vs Ginepri,3.7,3.7,3.7,47.4%,51.7%,56.3%,73.9%,46.2%,19.9%,36.0,17.2,-6.0,-3.1
2005 US Open QF,W vs Blake,3.7,3.8,3.6,49.5%,52.3%,58.8%,47.6%,59.1%,11.6%,26.5,9.9,10.5,6.3
2005 Canada F,L vs Nadal,5.3,5.4,5.1,43.9%,42.9%,50.0%,46.2%,55.1%,5.7%,7.0,3.6,-12.0,-8.0
2005 Canada SF,W vs Rusedski,3.3,4.3,2.5,52.0%,77.8%,66.7%,75.0%,45.2%,11.6%,20.5,37.3,12.0,20.0
2005 Los Angeles F,W vs Muller,3.3,3.2,3.4,52.5%,54.2%,69.2%,57.1%,44.9%,15.3%,10.5,13.3,10.0,12.2
2005 Rome SF,L vs Coria,5.8,6.0,5.7,45.5%,50.0%,36.4%,36.7%,50.9%,13.0%,8.0,4.2,-6.5,-4.1
2005 Miami SF,L vs Federer,4.7,5.7,3.8,44.1%,48.3%,41.7%,41.2%,43.0%,18.7%,5.0,4.8,-3.5,-3.1
2005 Dubai SF,L vs Federer,3.5,4.0,3.0,35.7%,40.0%,50.0%,40.0%,47.1%,9.4%,-4.0,-7.0,-2.0,-3.4
2005 Australian Open QF,L vs Federer,3.3,3.6,3.1,36.8%,57.9%,71.4%,44.4%,42.5%,4.7%,8.0,8.7,3.5,2.9
2004 Madrid SF,L vs Safin,3.8,3.9,3.7,45.3%,32.1%,50.0%,60.0%,53.4%,14.6%,6.5,5.7,0.5,0.6
2004 US Open QF,L vs Federer,4.5,5.0,4.0,46.4%,50.0%,61.1%,61.1%,55.5%,6.9%,28.5,9.5,9.0,4.1
2004 Cincinnati F,W vs Hewitt,4.8,4.5,5.1,50.6%,56.7%,50.0%,52.0%,39.1%,8.7%,-4.5,-3.6,8.0,4.5
2004 Cincinnati SF,W vs Roddick,3.4,4.1,2.8,46.9%,62.1%,50.0%,83.3%,50.4%,10.3%,10.5,8.2,16.5,14.6
2004 Indian Wells SF,L vs Federer,3.8,4.5,3.1,47.9%,63.0%,35.3%,23.5%,44.2%,10.0%,-3.0,-2.5,0.0,0.0
2004 Australian Open SF,L vs Safin,4.0,4.1,3.9,48.6%,56.3%,57.1%,46.5%,41.6%,11.7%,7.0,3.2,6.5,2.4
2003 Masters Cup F,L vs Federer,3.6,4.2,2.9,38.9%,34.4%,61.5%,33.3%,41.2%,5.0%,-5.0,-6.0,-4.0,-3.5
Career (230 matches),,3.8,4.1,3.6,49.9%,52.8%,56.1%,54.0%,46.6%,9.0%,12.6,9.5,7.3,5.2
