Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2006 US Open R64,W vs Baghdatis,22.2%,30.1%,54.1%,28.0%,30.1%,39.8%,55.7%,39.2%,72.4%,47.3%,55.6%,8.2%,13.1%,51.8%,-31
2006 US Open R128,W vs Pavel,28.6%,44.8%,54.9%,36.6%,37.5%,61.4%,67.3%,51.5%,57.6%,47.3%,100.0%,19.0%,25.9%,40.4%,65
2006 Wimbledon R32,L vs Nadal,32.4%,38.0%,45.1%,36.9%,41.3%,49.2%,51.4%,49.0%,55.2%,41.2%,100.0%,20.9%,23.3%,38.2%,-12
2005 US Open F,L vs Federer,19.8%,30.5%,47.5%,23.4%,25.6%,35.9%,43.1%,31.5%,47.4%,62.5%,77.8%,12.2%,24.5%,53.5%,6
2005 US Open SF,W vs Ginepri,36.2%,44.1%,48.9%,40.0%,49.4%,58.6%,52.3%,56.1%,69.8%,50.0%,50.0%,19.4%,25.8%,46.0%,-9
2005 US Open QF,W vs Blake,30.7%,38.7%,44.0%,35.3%,38.1%,46.7%,43.1%,45.2%,54.2%,45.6%,45.5%,18.5%,25.9%,45.5%,1
2005 Canada F,L vs Nadal,28.0%,37.3%,52.0%,32.1%,41.9%,53.5%,52.0%,49.1%,52.6%,45.8%,33.3%,10.7%,17.9%,52.0%,-15
2005 Canada SF,W vs Rusedski,36.4%,59.1%,85.7%,48.4%,41.2%,61.8%,80.0%,56.8%,66.7%,42.1%,-,20.0%,50.0%,100.0%,-79
2005 Los Angeles F,W vs Muller,37.9%,48.5%,60.5%,43.2%,52.3%,68.2%,61.9%,60.2%,73.7%,56.0%,100.0%,10.5%,10.5%,58.8%,-13
2005 Rome SF,L vs Coria,15.8%,23.7%,41.0%,19.2%,26.8%,36.6%,46.7%,33.2%,63.2%,40.9%,0.0%,3.1%,9.4%,35.5%,-87
2005 Miami SF,L vs Federer,25.0%,30.0%,50.0%,27.8%,40.0%,43.3%,55.6%,45.7%,26.7%,40.0%,0.0%,10.3%,17.2%,46.2%,-29
2005 Dubai SF,L vs Federer,22.0%,26.8%,35.5%,24.6%,21.7%,26.1%,27.8%,26.5%,30.0%,53.8%,0.0%,23.5%,29.4%,46.2%,5
2005 Australian Open QF,L vs Federer,25.3%,30.4%,54.4%,30.3%,38.6%,45.5%,59.3%,47.5%,41.2%,59.3%,50.0%,9.1%,12.1%,50.0%,-24
2004 Madrid SF,L vs Safin,30.8%,39.7%,46.2%,36.8%,44.7%,63.2%,66.7%,57.1%,61.1%,30.0%,66.7%,18.4%,18.4%,32.3%,-3
2004 US Open QF,L vs Federer,21.8%,30.3%,60.7%,27.5%,28.9%,38.1%,59.4%,37.2%,52.1%,55.1%,75.0%,7.3%,14.6%,63.2%,-45
2004 Cincinnati F,W vs Hewitt,35.1%,40.3%,53.1%,40.9%,42.6%,48.9%,59.3%,52.1%,39.1%,54.2%,0.0%,24.1%,27.6%,45.5%,-29
2004 Cincinnati SF,W vs Roddick,36.4%,51.5%,72.9%,44.4%,43.8%,59.4%,66.7%,56.3%,69.6%,53.7%,-,25.8%,41.9%,82.6%,55
2004 Indian Wells SF,L vs Federer,29.0%,37.6%,54.8%,33.7%,33.3%,41.7%,62.5%,40.5%,40.7%,63.6%,100.0%,24.1%,34.5%,40.9%,105
2004 Australian Open SF,L vs Safin,35.6%,42.2%,47.8%,40.1%,44.3%,51.9%,55.9%,52.1%,55.6%,40.4%,75.0%,23.9%,29.6%,38.9%,-38
2003 Masters Cup F,L vs Federer,17.6%,27.0%,47.4%,24.2%,17.8%,28.9%,48.6%,28.7%,33.3%,66.7%,100.0%,20.0%,28.0%,45.0%,72
Career (230 matches),,25.4%,36.2%,53.7%,31.6%,31.3%,43.8%,56.4%,41.4%,54.7%,57.2%,61.2%,18.3%,27.8%,49.4%,34
