Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2006 US Open R64,W vs Baghdatis,38,35,1.1,10.6%,9.8%,29,33,0.9,9.1%,10.4%,2.8%,4.4%,1.3,24.1%,18.2%
2006 US Open R128,W vs Pavel,63,53,1.2,19.6%,16.5%,46,45,1.0,16.5%,16.1%,10.8%,4.3%,1.0,17.1%,17.4%
2006 Wimbledon R32,L vs Nadal,23,46,0.5,12.3%,24.6%,16,44,0.4,10.1%,27.8%,4.4%,5.7%,1.5,23.5%,15.5%
2005 US Open F,L vs Federer,33,33,1.0,13.9%,13.9%,27,29,0.9,13.0%,13.9%,6.7%,3.8%,1.8,29.0%,16.4%
2005 US Open SF,W vs Ginepri,51,41,1.2,16.5%,13.3%,33,38,0.9,12.4%,14.3%,8.6%,3.8%,1.0,15.9%,15.9%
2005 US Open QF,W vs Blake,48,46,1.0,15.4%,14.7%,37,43,0.9,13.5%,15.7%,9.9%,3.6%,1.6,17.6%,10.9%
2005 Canada Masters F,L vs Nadal,21,37,0.6,13.5%,23.7%,14,33,0.4,10.2%,24.1%,7.3%,2.9%,1.3,12.2%,9.6%
2005 Canada Masters SF,W vs Rusedski,22,5,4.4,21.4%,4.9%,18,5,3.6,20.5%,5.7%,13.6%,6.8%,1.3,19.4%,14.6%
2005 Los Angeles F,W vs Muller,19,12,1.6,13.4%,8.5%,12,10,1.2,9.8%,8.2%,5.7%,1.6%,1.1,23.9%,21.8%
2005 Rome Masters SF,L vs Coria,27,42,0.6,18.8%,29.2%,24,39,0.6,18.2%,29.5%,14.4%,3.8%,1.2,14.6%,11.8%
2005 Miami Masters SF,L vs Federer,13,18,0.7,10.3%,14.3%,13,17,0.8,11.3%,14.8%,6.1%,5.2%,1.4,23.0%,16.7%
2005 Dubai SF,L vs Federer,4,17,0.2,4.3%,18.5%,3,16,0.2,3.8%,20.0%,2.5%,1.3%,1.1,21.7%,20.7%
2005 Australian Open QF,L vs Federer,13,24,0.5,7.3%,13.5%,12,22,0.5,8.1%,14.8%,7.4%,0.7%,1.4,23.6%,16.9%
2004 Madrid Masters SF,L vs Safin,15,22,0.7,10.0%,14.7%,10,20,0.5,7.8%,15.5%,6.2%,1.6%,1.3,20.7%,16.0%
2004 US Open QF,L vs Federer,30,36,0.8,10.0%,12.0%,27,32,0.8,10.1%,11.9%,7.8%,0.7%,0.8,17.7%,22.7%
2004 Cincinnati Masters F,W vs Hewitt,18,26,0.7,11.5%,16.7%,11,25,0.4,8.5%,19.2%,3.8%,4.6%,0.8,17.3%,22.4%
2004 Cincinnati Masters SF,W vs Roddick,42,16,2.6,21.0%,8.0%,25,13,1.9,16.8%,8.7%,10.1%,6.7%,1.4,26.0%,18.0%
2004 Indian Wells Masters SF,L vs Federer,14,31,0.5,7.9%,17.4%,12,27,0.4,7.7%,17.3%,5.1%,2.6%,0.7,16.3%,23.6%
2004 Australian Open SF,L vs Safin,41,50,0.8,12.1%,14.7%,31,48,0.6,10.5%,16.3%,4.4%,4.7%,1.2,22.1%,18.6%
2003 Masters Cup F,L vs Federer,12,32,0.4,8.3%,22.2%,11,28,0.4,8.9%,22.8%,7.3%,1.6%,1.5,25.7%,16.7%
Career (228 matches),,6610,6188,1.1,15.8%,14.8%,5537,5608,1.0,15.1%,15.2%,8.6%,6.0%,1.0,19.2%,18.3%
