Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,758,598,160,78.9%,1386-505,73.3%,10363-7303,58.7%,148-101,59.4%,587,85.2%,32.4%,6.7%,3.2%,62.7%,73.5%,54.8%,66.5%,42.0%,53.8%,1.25
Clay,209,152,57,72.7%,394-168,70.1%,2969-2180,57.7%,24-22,52.2%,130,77.8%,34.9%,3.9%,2.9%,63.6%,69.3%,50.8%,62.5%,43.2%,52.7%,1.15
Grass,68,50,18,73.5%,164-73,69.2%,1305-1018,56.2%,22-19,53.7%,66,87.5%,25.8%,6.1%,3.4%,61.3%,75.4%,53.7%,67.0%,38.8%,52.3%,1.18
Carpet,112,72,40,64.3%,167-95,63.7%,1339-1111,54.7%,12-18,40.0%,66,81.8%,26.9%,6.4%,3.2%,61.5%,72.6%,53.7%,65.3%,39.2%,51.9%,1.13
Grand Slams,277,224,53,80.9%,713-262,73.1%,5354-3761,58.7%,69-49,58.5%,231,84.8%,33.0%,5.8%,3.0%,63.5%,73.4%,53.4%,66.1%,41.9%,53.5%,1.24
Masters,319,231,88,72.4%,498-240,67.5%,3930-3030,56.5%,48-48,50.0%,262,82.7%,30.5%,6.3%,3.3%,61.8%,71.8%,54.3%,65.1%,41.2%,53.0%,1.18
Other Tours,479,366,113,76.4%,763-277,73.4%,5620-4016,58.3%,75-52,59.1%,327,84.6%,32.2%,6.6%,3.3%,62.4%,73.4%,54.5%,66.3%,42.2%,53.9%,1.25
Best of 5,335,264,71,78.8%,843-321,72.4%,6374-4515,58.5%,85-60,58.6%,244,84.7%,32.5%,5.7%,2.9%,63.6%,73.2%,53.4%,66.0%,41.7%,53.3%,1.23
Best of 3,812,608,204,74.9%,1268-520,70.9%,9602-7097,57.5%,121-100,54.8%,605,83.6%,31.2%,6.5%,3.4%,62.0%,72.8%,54.3%,65.7%,41.7%,53.4%,1.22
Finals,90,60,30,66.7%,153-99,60.7%,1291-1106,53.9%,17-16,51.5%,69,83.6%,24.2%,6.0%,2.6%,65.0%,70.1%,55.0%,64.8%,38.1%,51.0%,1.08
Semi-finals,136,90,46,66.2%,218-127,63.2%,1797-1522,54.1%,22-26,45.8%,104,83.3%,25.5%,6.3%,3.0%,63.6%,72.9%,53.7%,65.9%,38.8%,51.9%,1.14
Quarter-finals,179,130,49,72.6%,305-139,68.7%,2352-1819,56.4%,38-24,61.3%,136,82.3%,30.1%,6.0%,2.9%,62.4%,72.5%,53.5%,65.3%,41.2%,52.7%,1.19
vs Righties,978,750,228,76.7%,1815-712,71.8%,13718-9934,58.0%,187-134,58.3%,725,83.8%,31.6%,6.2%,3.2%,62.8%,72.7%,53.8%,65.7%,41.7%,53.3%,1.21
vs Lefties,167,121,46,72.5%,294-126,70.0%,2237-1654,57.5%,19-26,42.2%,123,85.7%,32.5%,6.0%,3.3%,61.7%,74.4%,55.1%,67.0%,41.6%,53.8%,1.26
vs Top 10,201,110,91,54.7%,297-257,53.6%,2726-2590,51.3%,43-46,48.3%,155,81.0%,22.2%,5.5%,2.8%,62.7%,70.6%,52.7%,63.9%,37.1%,50.1%,1.03
