Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2006 US Open R64,W vs Baghdatis,0.0%,-,6.4%,65.2%,13.1%,19.2%,25.0%,9.3%,46.7%,1.1%,62.5%,-89,-83
2006 US Open R128,W vs Pavel,0.0%,-,7.5%,79.2%,18.4%,21.1%,50.0%,8.1%,33.3%,1.4%,62.5%,-28,-13
2006 Wimbledon R32,L vs Nadal,1.0%,0.0%,12.3%,69.6%,7.1%,7.7%,5.0%,10.3%,21.1%,0.3%,0.0%,8,25
2005 US Open F,L vs Federer,0.8%,100.0%,7.1%,64.7%,13.9%,9.5%,0.0%,11.4%,28.6%,0.8%,66.7%,-21,-51
2005 US Open SF,W vs Ginepri,0.0%,-,2.6%,75.0%,20.1%,21.8%,0.0%,10.2%,24.0%,1.3%,50.0%,-36,7
2005 US Open QF,W vs Blake,0.7%,100.0%,8.2%,84.6%,17.1%,18.8%,0.0%,10.1%,46.7%,1.3%,50.0%,27,38
2005 Canada F,L vs Nadal,0.0%,-,9.6%,80.0%,10.8%,10.3%,7.4%,5.6%,13.0%,0.6%,0.0%,-39,-10
2005 Canada SF,W vs Rusedski,2.5%,0.0%,7.8%,75.0%,37.8%,66.7%,50.0%,20.8%,12.5%,0.0%,-,34,28
2005 Los Angeles F,W vs Muller,0.0%,-,3.5%,80.0%,13.3%,10.0%,15.4%,14.8%,12.5%,0.0%,-,-89,-30
2005 Rome SF,L vs Coria,0.0%,-,11.1%,56.3%,13.3%,23.4%,0.0%,3.6%,10.7%,0.8%,0.0%,-25,-23
2005 Miami SF,L vs Federer,0.0%,-,6.3%,75.0%,8.5%,4.3%,0.0%,4.1%,10.0%,0.4%,100.0%,-97,-71
2005 Dubai SF,L vs Federer,0.0%,-,6.5%,33.3%,6.5%,4.0%,0.0%,4.7%,50.0%,0.0%,-,-29,-43
2005 Australian Open QF,L vs Federer,0.0%,-,9.6%,76.5%,21.4%,21.1%,0.0%,7.9%,0.0%,0.0%,-,-11,-12
2004 Madrid SF,L vs Safin,0.0%,-,5.3%,62.5%,13.0%,28.6%,0.0%,5.4%,0.0%,0.0%,-,-43,-29
2004 US Open QF,L vs Federer,0.7%,100.0%,7.0%,81.0%,13.7%,6.7%,22.7%,5.2%,33.3%,0.5%,33.3%,-88,-78
2004 Cincinnati F,W vs Hewitt,2.9%,100.0%,5.8%,77.8%,5.0%,6.9%,25.0%,7.8%,53.8%,0.3%,100.0%,-84,-52
2004 Cincinnati SF,W vs Roddick,4.9%,75.0%,10.2%,66.7%,14.7%,9.5%,33.3%,10.1%,20.0%,1.2%,33.3%,-45,-22
2004 Indian Wells SF,L vs Federer,0.0%,-,3.9%,57.1%,10.9%,13.6%,0.0%,3.7%,22.2%,0.4%,0.0%,-63,-38
2004 Australian Open SF,L vs Safin,0.0%,-,5.9%,90.0%,7.4%,12.5%,0.0%,8.1%,29.4%,1.1%,33.3%,-60,-29
2003 Masters Cup F,L vs Federer,4.1%,100.0%,8.3%,66.7%,18.8%,36.8%,0.0%,7.0%,30.8%,0.0%,-,2,3
Career (230 matches),,2.3%,66.6%,9.3%,71.2%,15.8%,19.6%,13.2%,10.3%,27.6%,0.6%,36.5%,-14,-11
