Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 W25 Nonthaburi R16,W vs Xun,63% (12/19),50% (5/10),2/3,1/2,77% (10/13),0/1,0/0,- (0/0),- (0/0)
2017 Kyoto $15K F,L vs Dunne,50% (3/6),71% (5/7),0/0,0/0,46% (6/13),1/3,0/1,50% (2/4),0% (0/5)
2017 Kyoto $15K SF,W vs Gatto Monticone,67% (8/12),33% (4/12),2/2,1/1,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2017 Kyoto $15K R32,W vs Kozaki,86% (6/7),55% (6/11),2/3,1/1,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2017 Hong Kong $15K QF,L vs Vaidya,60% (9/15),46% (6/13),1/1,0/0,63% (10/16),6/8,3/4,- (0/0),- (0/0)
2017 Hong Kong $15K R32,W vs Ki,86% (6/7),43% (6/14),2/8,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2017 Hua Hin $15K R16,L vs Ushijima,44% (4/9),38% (3/8),0/0,0/0,38% (3/8),1/3,0/1,50% (3/6),33% (2/6)
2017 Victoria BC $15K QF,L vs Johanson,53% (9/17),60% (3/5),1/1,0/0,50% (4/8),2/4,0/1,- (0/0),- (0/0)
2017 Victoria BC $15K R16,W vs Kelley,36% (9/25),54% (7/13),2/4,1/2,44% (4/9),1/2,0/0,- (0/0),- (0/0)
2017 Victoria BC $15K R32,W vs Larner,31% (5/16),73% (8/11),2/5,1/2,50% (6/12),0/0,0/0,- (0/0),- (0/0)
2017 Karuizawa $25K R32,L vs Kobori,42% (5/12),50% (6/12),1/4,0/0,47% (9/19),1/3,1/2,83% (5/6),40% (2/5)
2017 Kurume $60K R32,L vs Ushijima,50% (4/8),67% (2/3),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2017 Hua Hin $15K R16,L vs Bhambri,33% (1/3),20% (1/5),0/0,0/0,25% (2/8),2/4,2/3,- (0/0),- (0/0)
2017 Nishi Tama $15K R32,W vs Kang,50% (7/14),33% (5/15),2/6,1/4,25% (1/4),0/0,0/0,67% (4/6),50% (3/6)
2016 Hua Hin $10K R32,L vs Jandakate,36% (4/11),33% (3/9),0/0,0/0,57% (8/14),2/4,2/3,- (0/0),- (0/0)
2016 Toyota $50K R32,L vs Mestach,38% (3/8),14% (1/7),0/0,0/0,50% (5/10),2/4,1/2,- (0/0),- (0/0)
2016 Hamamatsu $25K R16,L vs Frech,33% (4/12),100% (2/2),0/0,0/0,55% (6/11),6/8,3/4,- (0/0),- (0/0)
2016 Hamamatsu $25K R32,W vs Shimizu,57% (8/14),47% (7/15),2/2,1/1,25% (2/8),0/1,0/0,- (0/0),- (0/0)
2016 Iizuka $25K R32,L vs Aoyama,21% (3/14),63% (10/16),1/1,0/0,42% (8/19),0/2,0/1,- (0/0),- (0/0)
2016 Nonthaburi $25K R16,L vs Sizikova,29% (2/7),0% (0/3),0/0,0/0,38% (3/8),1/3,0/1,- (0/0),- (0/0)
2019 (1 matches),,63.2%,50.0%,66.7%,50.0%,76.9%,0.0%,-,-,-
2017 (13 matches),,50.3%,48.1%,44.1%,54.5%,47.9%,48.3%,46.2%,63.6%,31.8%
2016 (15 matches),,48.7%,52.1%,60.0%,85.7%,45.0%,50.0%,60.9%,58.3%,58.3%
2015 (6 matches),,46.8%,47.6%,18.2%,33.3%,42.0%,37.5%,44.4%,22.2%,66.7%
2014 (4 matches),,52.8%,25.0%,25.0%,100.0%,40.6%,53.8%,40.0%,61.5%,61.5%
Career (42 matches),,49.0%,46.6%,44.4%,62.5%,45.0%,44.7%,49.1%,55.9%,51.5%
