Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),653,68,,,,,,,,,491,145,,
2025,774,46,,,,,,,,,517,139
2024,670,54,,,,,,,,,408,166
2023,811,35,,,,,,,,,,
2022,584,60,,,,,,,,,,
2021,671,53,,,,,,,,,,
2020,518,78,,,,,,,,,527,112
2019,519,70,,,,,,,,,537,95
2018,491,49,,,,,,,,,418,119
2017,740,24,,,,,,,,,336,172
2016,589,42,,,,,,,,,635,52
2015,664,30,,,,,,,,,613,56
2014,444,64,,,,,,,,,427,96
2013,712,33,,,,,,,,,1143,11
