Date,Tournament,Surface,Rd,,Score
03-Aug-1970,Ilkley,,F,Patti Hogan [USA] / Munawar Iqbal [PAK] d. Bentley / M A Ilahi [PAK],11-9 6-3
02-Aug-1966,Vancouver,Grass,F,Vicky Berner / Keith Carpenter [CAN] d. Bentley / Allan Stone [AUS],8-6 6-3
22-May-1966,Surbiton,Grass,F,Jane Albert [USA] / Rohan Summers [RSA] d. Bentley / A Saul [RSA],6-4 7-5
02-Aug-1965,Ilkley,Grass,F,Bentley / Graham Stilwell [GBR] d. Winnie Shaw / Gerald Battrick [GBR],6-2 6-2
25-Jan-1965,Auckland,Grass,F,Bentley / Richard Hawkes [NZL] d. Jill Bignell / Robert Clarke [NZL],6-4 6-1
04-Jan-1965,Christchurch 1,Grass,F,Bentley / Richard Hawkes [NZL] d. Ruia Morrison / John Souter [NZL],7-5 6-4
06-Jul-1964,Felixstowe,Grass,F,Elizabeth Starkie [GBR] / Iyo Pimentel [VEN] d. Bentley / Graham Stilwell [GBR],6-1 6-4
18-May-1964,Sutton Coldfield,Grass,F,Bentley / John Hillebrand [AUS] d. Ann Jones / Tony Pickard [GBR],6-0 3-6 7-5
19-Mar-1964,Trinidad,,F,Bentley / Ron Holmberg [USA] d. Judy Alvarez [USA] / Jose Luis Arilla [ESP],2-6 6-3 6-4
09-Mar-1964,Barranquilla,Clay,F,Bentley / Nikola Pilic [CRO] d. Francoise Durr [FRA] / Patricio Rodriguez Chi [CHI],6-3 8-6
16-Jan-1964,Wellington Nationals,,F,Judy Davidson / John Souter [NZL] d. Bentley / Barry Taylor [NZL],9-7 6-4
11-Feb-1963,Manila,,F,Bentley / Neale Fraser [AUS] d. Dorothy Knode [USA] / Raymundo Deyro [PHI],16-14 0-6 6-1
07-Aug-1962,Ostend,Clay,F,Jill Blackman / John Newcombe [AUS] d. Bentley / Ken Fletcher [AUS],6-4 6-3
26-Feb-1962,Cannes Gallia,Clay,F,Bentley / Martin Mulligan [AUS] d. Marta Peterdy [HUN] / Barry Phillips Moore [AUS],7-5 6-2
28-Aug-1961,Graz,Clay,F,Bentley / Laci Legenstein [AUT] d. Ria Leyrer [GER] / K Wilson [],4-6 6-4 6-4
22-May-1961,St. Anne's on Sea,Grass,F,Bentley / Tony Pickard [GBR] d. Jean Wilson [GBR] / John Hillebrand [AUS],9-7 6-4
05-Sep-1960,Eastbourne,Grass,F,Bentley / Gerry Oakley [GBR] d. Sue Waters [GBR] / Mark Otway [NZL],6-2 6-4
22-Aug-1960,St. Moritz Palace,Clay,F,Patricia Ward Hales [GBR] / Bob Howe [AUS] d. Bentley / Robin Sanders [RSA],5-7 6-1 7-5
16-Aug-1960,St. Moritz Suvretta,Clay,F,Patricia Ward Hales [GBR] / Bob Howe [AUS] d. Bentley / Alan Bailey [AUS],6-2 6-1
16-May-1960,St. Annes-On-Sea,Grass,F,Jill Rook / Alan Mills [GBR] d. Bentley / Tony Pickard [GBR],8-6 2-2 RET
