Date,Tournament,Surface,Rd,,Score
24-Aug-1970,Budleigh Salterton,Grass,F,Wendy Hall [GBR] / Barbara Walsh [AUS] d. Bentley / Di Riste [GBR],8-6 6-4
03-Aug-1970,Ilkley,,F,Bentley / Patti Hogan [USA] d. Lindsey Beaven / Corinne Molesworth [GBR],7-9 8-6 6-0
27-Jul-1970,Newcastle,Grass,F,Patti Hogan [USA] / Corinne Molesworth [GBR] d. Bentley / Lindsey Beaven [GBR],7-5 9-7
06-Jul-1970,Richmond Invitational,,F,Carole Loop / Raymonde Veber [USA] d. Bentley / Laura Dupont [USA],6-2 6-2
18-May-1970,Wolverhampton,Clay,F,Bentley / Kerry Reid [AUS] d. Susan Alexander / Sandra Walsham [AUS],8-6 6-2
09-Apr-1970,Poole,Clay,F,Patricia Edwards / Evonne Goolagong [AUS] d. Bentley / Joyce Williams [GBR],6-4 6-8 6-4
25-Aug-1969,Budleigh Salterton,Grass,F,Wendy Hall / Corinne Molesworth [GBR] d. Bentley / Judy Congdon [GBR],6-3 6-2
28-Jul-1969,Newcastle,Grass,F,Wendy Gilchrist [AUS] / Joan Wilshere [RSA] d. Bentley / Marilyn Headifen [GBR],6-2 6-3
07-Jul-1969,Brooklands,Grass,F,J D Brown / Jean Wilson [GBR] d. Bentley / Suzana Gesteira [BRA],6-4 4-6 6-4
27-May-1968,St. Annes-On-Sea,Grass,F,Sally Holdsworth / Alex Cowie [GBR] d. Bentley / Alice Tym [USA],6-4 6-2
28-Oct-1967,Tel Aviv,,F,Bentley / Jean Wilson [GBR] d. Almut Sturm [GER] / Tova Epstein [ISR],6-1 6-1
01-Aug-1967,Toronto,,F,Vicky Berner / Faye Urban [CAN] d. Bentley / Jean Wilson [GBR],8-6 6-1
10-Oct-1966,Tel Aviv,Clay,F,Bentley / Jean Wilson [GBR] d. Sue Sara [GBR] / Fay Toyne [AUS],6-4 6-2
02-Aug-1966,Vancouver,Grass,F,Vicky Berner / Faye Urban [CAN] d. Bentley / Jean Wilson [GBR],6-4 6-1
04-Jul-1966,Felixstowe,Grass,F,Bentley / Jill Blackman [AUS] d. Trish Mcclenaughan [AUS] / Robin Lloyd [GBR],6-4 7-5
10-Jun-1966,Wightman Cup,Grass,RR,Mary Ann Eisel / Nancy Richey [USA] d. Bentley / Elizabeth Starkie [GBR],6-1 6-2
22-May-1966,Surbiton,Grass,F,Bentley / Elizabeth Starkie [GBR] d. Winnie Shaw / Joyce Williams [GBR],3-6 6-4 6-2
28-Mar-1966,Nice,Clay,F,Bentley / Jill Blackman [AUS] d. Frances Maclennan / Virginia Wade [GBR],6-2 6-1
21-Mar-1966,Menton,Clay,F,Winnie Shaw / Joyce Williams [GBR] d. Bentley / Jill Blackman [AUS],UNK
14-Mar-1966,Cannes Carlton,Clay,F,Bentley / Jill Blackman [AUS] d. Roberta Beltrame [ITA] / Fay Toyne [AUS],1-6 6-2 6-4
