Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Championships,2,Grass,4,2,2,50.0%,0,0,0,-,1963,1964,QF,0,,,,,,,,,,
Roland Garros,3,Clay,3,0,3,0.0%,0,0,0,-,1959,1963,R32,0,,,,,,,,,,
Wimbledon,17,Grass,36,19,17,52.8%,0,0,0,-,1953,1973,R16,0,,,,,,,,,,
US National Championships,4,Grass,8,4,4,50.0%,0,0,0,-,1962,1967,QF,0,,,,,,,,,,
Manchester,19,Grass,41,22,19,53.7%,0,0,0,-,1952,1981,F,0,,,,,,,,,,
Queen's Club,12,Grass,36,25,11,69.4%,0,0,0,-,1957,1971,W,0,,,,,,,,,,
Bournemouth,11,Clay,28,18,10,64.3%,0,0,0,-,1955,1971,SF,0,,,,,,,,,,
Surbiton,8,Grass,28,20,8,71.4%,0,0,0,-,1960,1971,F,0,,,,,,,,,,
Hurlingham,7,Clay,19,12,7,63.2%,0,0,0,-,1957,1967,QF,0,,,,,,,,,,
Hoylake,7,Grass,17,11,6,64.7%,0,0,0,-,1955,1969,F,0,,,,,,,,,,
