Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,8,9,47.1%,18-16,52.9%,168-156,51.9%,0-0,-,0,,,,,,,,,,,
Clay,224,139,85,62.1%,300-198,60.2%,2487-2055,54.8%,0-0,-,0,,,,,,,,,,,
Grass,346,226,120,65.3%,480-286,62.7%,3831-3063,55.6%,0-0,-,0,,,,,,,,,,,
Carpet,27,15,12,55.6%,34-25,57.6%,287-247,53.7%,0-0,-,0,,,,,,,,,,,
Grand Slams,50,25,25,50.0%,55-54,50.5%,489-510,48.9%,0-0,-,0,,,,,,,,,,,
Finals,68,34,34,50.0%,79-79,50.0%,771-751,50.7%,0-0,-,0,,,,,,,,,,,
Semi-finals,95,53,42,55.8%,112-98,53.3%,973-937,50.9%,0-0,-,0,,,,,,,,,,,
Quarter-finals,129,78,51,60.5%,170-112,60.3%,1390-1171,54.3%,0-0,-,0,,,,,,,,,,,
vs Righties,213,79,134,37.1%,188-292,39.2%,2033-2436,45.5%,0-0,-,0,,,,,,,,,,,
vs Lefties,25,11,14,44.0%,25-32,43.9%,265-299,47.0%,0-0,-,0,,,,,,,,,,,
