Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R128,L vs Sierra,32.2%,52.5%,50.0%,38.7%,58.1%,47.4%,37.5%,53.3%,0.0%,26.9%,50.0%,52.6%,41.7%,35.7%,0.0%,-18
2026 Austin F,W vs Townsend,28.0%,33.0%,50.7%,36.5%,41.3%,47.5%,52.2%,47.5%,-,15.6%,21.9%,55.6%,26.7%,47.1%,50.0%,37
2025 Cincinnati R128,W vs Wang,22.4%,44.8%,47.9%,25.5%,48.9%,48.6%,56.5%,54.2%,50.0%,18.8%,43.8%,46.2%,40.0%,36.4%,-,54
2025 Rome SF,L vs Paolini,9.9%,26.8%,45.8%,13.2%,39.5%,54.5%,47.1%,81.0%,80.0%,7.1%,14.3%,34.6%,64.3%,85.7%,100.0%,-49
2025 Madrid R64,W vs Anisimova,28.9%,38.1%,34.9%,32.2%,44.1%,42.5%,28.0%,41.2%,40.0%,28.1%,34.4%,21.7%,29.4%,60.0%,100.0%,87
2025 Miami R128,W vs Boulter,26.8%,41.1%,47.4%,38.7%,51.6%,52.6%,50.0%,21.1%,0.0%,13.6%,31.8%,42.1%,38.5%,22.2%,0.0%,19
2025 Indian Wells R128,L vs Linette,23.3%,33.7%,48.4%,28.6%,41.1%,47.5%,34.8%,78.8%,66.7%,14.3%,21.4%,50.0%,25.0%,66.7%,75.0%,-23
2025 Dubai R16,L vs Andreeva,16.1%,23.2%,29.5%,18.5%,22.2%,22.7%,60.0%,41.7%,40.0%,15.4%,26.9%,36.4%,25.0%,28.6%,0.0%,21
2025 Doha R32,L vs Rybakina,14.1%,21.9%,37.7%,13.2%,21.1%,39.4%,47.4%,31.6%,50.0%,16.7%,25.0%,35.0%,41.7%,66.7%,60.0%,-11
2024 Toronto QF,L vs Pegula,27.6%,35.5%,43.6%,22.8%,33.3%,50.0%,46.2%,61.3%,42.9%,42.1%,42.1%,18.2%,60.0%,55.6%,-,-104
2024 Roland Garros R32,L vs Andreeva,7.4%,14.8%,41.7%,8.6%,11.4%,37.5%,26.3%,37.5%,33.3%,5.9%,23.5%,50.0%,57.1%,70.0%,80.0%,-58
2024 Roland Garros R128,W vs Ciric Bagaric,13.9%,22.1%,48.5%,16.3%,27.5%,49.3%,15.6%,41.7%,0.0%,11.1%,13.9%,46.9%,17.6%,52.6%,40.0%,-9
2024 Rabat F,W vs Sherif,14.5%,27.3%,61.7%,11.6%,27.9%,60.5%,47.4%,62.5%,100.0%,25.0%,25.0%,66.7%,50.0%,83.3%,100.0%,-104
2024 Madrid R128,L vs Maria,11.4%,21.9%,51.0%,9.4%,18.8%,46.8%,29.4%,52.9%,80.0%,17.9%,32.1%,65.2%,33.3%,76.9%,50.0%,-62
2024 Rouen R32,L vs Stephens,15.2%,27.8%,44.4%,18.4%,28.6%,37.5%,36.0%,37.5%,20.0%,11.5%,30.8%,56.5%,36.4%,46.7%,50.0%,-4
2024 Indian Wells R64,L vs Sabalenka,21.4%,29.1%,46.6%,25.0%,34.2%,50.9%,50.0%,50.0%,40.0%,16.2%,21.6%,38.7%,20.0%,70.4%,100.0%,14
2023 US Open R16,L vs Vondrousova,15.9%,26.1%,47.0%,17.0%,32.1%,43.2%,33.3%,44.8%,20.0%,18.5%,22.2%,54.5%,63.6%,50.0%,50.0%,46
2023 Washington R16,L vs Pegula,21.9%,26.6%,29.8%,18.4%,21.1%,25.8%,17.6%,42.9%,42.9%,30.4%,39.1%,37.5%,61.5%,70.0%,100.0%,-7
2023 Wimbledon R128,L vs Vondrousova,13.3%,27.7%,48.5%,18.5%,33.3%,43.2%,44.8%,56.0%,42.9%,4.0%,20.0%,58.3%,20.0%,66.7%,50.0%,-79
2023 Roland Garros R32,L vs Kasatkina,6.9%,12.1%,35.8%,8.9%,15.6%,36.6%,52.6%,57.7%,60.0%,0.0%,0.0%,33.3%,16.7%,83.3%,100.0%,-119
Last 52 Weeks (5 matches),,24.6%,38.1%,45.5%,29.8%,45.4%,47.9%,44.2%,53.0%,50.0%,19.4%,31.3%,41.7%,39.7%,53.5%,66.7%,66
Career (26 matches),,19.0%,29.9%,45.6%,21.1%,32.6%,46.2%,39.1%,48.9%,43.8%,17.1%,27.7%,44.5%,37.7%,57.6%,56.5%,34
