Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,5,2,3,40.0%,2,1,1,50.0%,2024,2026,R32,5,0.97,7.3%,3.9%,58.2%,68.3%,43.5%,57.9%,40.7%,51.3%,52.9%
Roland Garros,3,Clay,7,4,3,57.1%,3,2,1,66.7%,2023,2025,R32,7,0.96,0.8%,3.8%,70.6%,52.7%,47.3%,51.1%,46.8%,38.3%,54.7%
Wimbledon,3,Grass,3,0,3,0.0%,0,0,0,-,2023,2025,R128,3,0.73,1.8%,4.1%,67.7%,55.1%,44.3%,51.6%,35.6%,59.4%,36.4%
US Open,5,Hard,11,6,5,54.5%,3,3,0,100.0%,2021,2025,R16,11,1.06,6.1%,5.3%,62.8%,65.4%,46.5%,58.4%,44.3%,51.8%,46.0%
Miami,4,Hard,8,4,4,50.0%,2,1,1,50.0%,2023,2026,R64,8,1.01,3.9%,4.1%,67.2%,62.5%,37.1%,54.1%,46.5%,52.1%,50.0%
Indian Wells,5,Hard,8,3,5,37.5%,2,1,1,50.0%,2021,2026,R64,8,0.95,1.8%,3.7%,64.7%,63.8%,48.1%,58.3%,39.5%,55.9%,40.0%
Austin,4,Hard,10,7,3,70.0%,4,3,1,75.0%,2023,2026,W,10,1.05,4.2%,5.9%,64.5%,61.3%,45.6%,55.7%,46.7%,55.3%,47.2%
Dubai,3,Hard,9,5,4,55.6%,1,1,0,100.0%,2024,2026,R16,9,0.96,3.6%,4.0%,59.1%,62.8%,52.0%,58.4%,39.7%,55.3%,35.6%
Doha,3,Hard,4,1,3,25.0%,0,0,0,-,2024,2026,R32,4,0.83,5.3%,3.9%,60.2%,60.7%,40.5%,52.6%,39.5%,59.1%,54.5%
Hobart,2,Hard,3,1,2,33.3%,3,1,2,33.3%,2024,2026,R16,3,0.93,6.1%,7.1%,65.7%,62.6%,32.4%,52.2%,44.6%,40.6%,42.9%
