Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1999 Hanover F,W vs Williams,9.0%,14.9%,56.1%,6.7%,15.6%,52.4%,52.6%,23.1%,25.0%,16.7%,16.7%,66.7%,50.0%,16.7%,0.0%,38
1998 US Open SF,L vs Hingis,6.0%,13.3%,43.4%,7.3%,16.4%,45.1%,70.8%,22.6%,14.3%,3.8%,7.7%,40.0%,78.6%,25.0%,0.0%,-77
1998 New Haven F,L vs Graf,25.5%,29.4%,28.6%,29.4%,35.3%,25.0%,41.2%,29.4%,0.0%,21.4%,21.4%,36.4%,66.7%,25.0%,33.3%,84
1998 Wimbledon F,W vs Tauziat,15.6%,23.4%,57.1%,21.2%,27.3%,53.8%,50.0%,52.2%,40.0%,25.0%,50.0%,66.7%,50.0%,75.0%,-,111
1998 Wimbledon SF,W vs Hingis,18.0%,27.9%,50.0%,23.1%,33.3%,50.0%,81.0%,33.3%,25.0%,9.1%,18.2%,50.0%,62.5%,28.6%,0.0%,-104
1998 Hamburg F,L vs Hingis,9.1%,16.4%,46.8%,9.1%,21.2%,53.3%,40.0%,38.9%,50.0%,10.5%,10.5%,35.3%,33.3%,40.0%,-,-14
1997 WTA Tour Championships F,W vs Pierce,34.5%,46.0%,58.0%,43.2%,56.8%,60.9%,55.6%,26.7%,50.0%,14.8%,22.2%,52.2%,45.5%,25.0%,0.0%,25
1997 Wimbledon F,L vs Hingis,12.8%,29.8%,47.3%,20.4%,40.8%,46.2%,47.4%,43.3%,20.0%,5.4%,21.6%,48.6%,60.0%,47.1%,60.0%,-62
1997 Wimbledon SF,W vs Sanchez Vicario,17.8%,26.7%,41.2%,31.6%,47.4%,38.5%,14.3%,8.3%,0.0%,33.3%,50.0%,50.0%,0.0%,50.0%,-,-104
1995 US Open QF,L vs Seles,18.5%,22.2%,39.7%,20.3%,25.0%,41.2%,34.6%,21.1%,18.2%,14.3%,14.3%,33.3%,0.0%,20.0%,100.0%,17
1995 Wimbledon SF,L vs Graf,10.8%,27.7%,48.5%,12.5%,31.3%,46.4%,35.5%,42.4%,28.6%,7.7%,23.1%,58.3%,28.6%,50.0%,0.0%,-42
1994 US Open SF,L vs Graf,17.6%,26.5%,47.1%,24.4%,34.1%,48.4%,45.0%,52.4%,50.0%,9.1%,18.2%,45.0%,22.2%,61.5%,100.0%,-33
1993 Leipzig F,L vs Graf,22.2%,25.0%,22.2%,35.0%,35.0%,15.4%,72.7%,55.6%,-,6.7%,13.3%,28.6%,14.3%,50.0%,66.7%,-47
1993 Wimbledon F,L vs Graf,23.8%,33.3%,46.8%,34.9%,53.5%,53.6%,61.1%,32.0%,40.0%,22.7%,27.3%,41.2%,52.6%,72.0%,100.0%,41
1993 Wimbledon SF,W vs Navratilova,41.4%,55.2%,48.3%,55.2%,69.0%,69.2%,50.0%,35.3%,0.0%,33.3%,50.0%,31.3%,15.4%,45.5%,50.0%,30
1993 Roland Garros QF,L vs Sanchez Vicario,17.2%,20.3%,34.7%,31.3%,34.4%,40.9%,43.8%,18.8%,50.0%,3.6%,7.1%,29.6%,35.7%,21.4%,25.0%,-83
1992 Brighton F,L vs Graf,23.6%,31.1%,47.4%,28.4%,35.8%,47.9%,41.9%,55.6%,40.0%,17.6%,26.5%,46.4%,38.5%,66.7%,100.0%,51
1991 Leipzig F,L vs Graf,22.4%,30.6%,42.9%,30.4%,47.8%,50.0%,0.0%,53.3%,50.0%,17.4%,17.4%,36.8%,23.1%,70.0%,-,35
1991 Australian Open F,L vs Seles,16.2%,22.9%,44.0%,17.8%,26.0%,45.0%,51.4%,28.9%,20.0%,14.3%,17.9%,41.7%,58.3%,31.3%,0.0%,25
1990 Roland Garros SF,L vs Graf,17.0%,19.1%,31.6%,15.8%,18.4%,28.1%,26.3%,78.9%,83.3%,25.0%,25.0%,50.0%,25.0%,100.0%,100.0%,30
Career (22 matches),,18.8%,27.7%,46.5%,23.2%,34.1%,47.7%,47.5%,37.8%,36.0%,14.4%,21.7%,44.2%,39.9%,46.7%,40.5%,28
