Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),689,47,,,,,,,,,,,,
2025,590,63,274,1490,263,1461,223,1475,,,,,,
2024,206,277,210,1548,198,1506,182,1528,154,1503,966,36,,
2023,210,294,201,1539,184,1513,233,1457,138,1514,,,,
2022,174,327,201,1549,180,1525,245,1444,127,1530,,,,
2021,179,370,234,1510,183,1517,253,1429,177,1474,,,,
2020,211,287,202,1512,153,1526,221,1422,,,,,,
2019,192,261,211,1537,189,1507,212,1471,150,1500,239,249,,
2018,284,135,211,1521,190,1495,276,1383,,,,,,
2017,518,63,,,,,,,,,,,,
2016,419,102,,,,,,,,,1064,24,,
2015,434,98,311,1396,277,1385,348,1264,207,1420,595,91,,
2014,239,203,215,1515,182,1515,306,1328,,,477,119,,
2013,491,72,,,,,,,,,,,,
2012,1326,3,,,,,,,,,1277,10,,
