Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),734,51,436,1285,407,1270,,,,,100,782,,
2025,822,37,,,,,,,,,121,662
2024,483,108,451,1252,437,1235,,,,,131,625
2023,448,127,396,1171,384,1152,380,1160,,,,
2022,344,154,360,1199,353,1189,340,1185,,,,
2021,375,158,,,,,,,,,,
2020,284,220,,,,,,,,,195,434
2019,292,194,311,1312,304,1281,286,1298,,,194,392
2018,281,172,237,1343,238,1319,218,1296,,,185,368
2017,244,224,225,1343,226,1324,,,,,112,598
2016,278,165,227,1293,226,1275,,,,,133,506
2015,359,104,,,,,,,,,137,501
2014,494,52,,,,,,,,,183,323
2013,372,118,,,,,,,,,160,466
2012,422,84,,,,,,,,,213,308
2011,484,73,,,,,,,,,409,133
2010,512,61,,,,,,,,,476,87
2009,1004,7,,,,,,,,,,
