Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2020 Hua Hin R32,W vs Paquet,80.9%,51.3%,2.1%,0/2,2.43,0.0%,86.5%,51.1%,3.8%,2.45,0.0%,93.9%,51.6%,0.0%,2.40,0.0%
2017 Zhengzhou R32,L vs Duan,55.6%,40.0%,16.7%,3/3,2.57,2.9%,50.0%,36.4%,4.5%,2.41,5.0%,69.2%,44.4%,38.5%,2.79,0.0%
Career (2 matches),,73.8%,49.0%,6.2%,37.5%,2.47,0.8%,75.7%,48.2%,4.1%,2.44,1.4%,87.0%,50.0%,10.9%,2.50,0.0%
