Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1955,,,1,2213,,,1,2101,1,2096,,,,
1954,,,2,2211,,,2,2090,2,2096,,,,
1953,,,2,2194,2,2003,2,2069,2,2132,,,,
1952,,,1,2269,2,1999,1,2138,1,2174,,,,
1951,,,1,2275,,,1,2107,1,2185,,,,
1950,,,2,2192,,,2,1993,2,2118,,,,
1949,,,3,2106,2,1889,3,1875,3,2043,,,,
1948,,,4,1970,,,2,1854,3,1907,,,,
1947,,,11,1874,,,13,1740,5,1856,,,,
1946,,,7,1922,,,9,1755,5,1849,,,,
1945,,,6,1899,8,1714,5,1767,5,1807,,,,
1944,,,5,1888,,,4,1751,5,1797,,,,
1943,,,4,1873,,,2,1735,4,1801,,,,
1942,,,8,1810,,,6,1701,6,1727,,,,
1941,,,16,1723,,,10,1621,14,1575,,,,
1940,,,37,1533,,,22,1540,38,1409,,,,
1939,,,89,1521,25,1366,62,1479,101,1376,,,,
