Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2019 Vienna QF,L vs Monfils,46.3%,40.0%,0.0%,0/0,2.23,41.5%,52.8%,36.8%,0.0%,2.29,57.9%,42.9%,50.0%,0.0%,2.18,27.3%
2019 Metz F,L vs Tsonga,61.6%,31.1%,5.1%,4/1,2.50,29.2%,43.4%,17.4%,5.7%,2.41,50.0%,84.4%,39.5%,4.4%,2.60,6.5%
2019 Davis Cup G2 R1 RR,W vs Maamoun,79.2%,52.4%,7.5%,2/2,1.98,6.5%,79.4%,44.4%,2.9%,2.00,7.7%,88.2%,66.7%,17.6%,1.97,5.6%
2019 Portoroz CH F,W vs Durasovic,87.7%,56.3%,2.7%,1/1,2.14,18.2%,90.0%,52.8%,0.0%,2.15,60.0%,90.3%,60.7%,6.5%,2.13,0.0%
2019 Umag QF,L vs Lajovic,86.6%,41.7%,2.1%,2/0,1.89,15.0%,88.7%,38.1%,0.0%,1.88,29.7%,91.3%,52.4%,8.7%,1.91,2.3%
2019 Roland Garros R128,L vs Coric,68.4%,33.8%,6.8%,3/5,1.95,8.8%,69.0%,28.6%,2.8%,2.07,17.9%,75.6%,41.9%,14.6%,1.86,2.5%
2019 Budapest R16,L vs Berrettini,61.4%,28.6%,1.8%,0/1,1.85,12.0%,38.7%,8.3%,3.2%,1.88,28.6%,92.0%,39.1%,0.0%,1.83,0.0%
2019 Budapest R32,W vs Tomic,78.9%,53.5%,4.4%,4/0,2.00,25.5%,70.4%,57.9%,1.9%,2.10,42.9%,97.1%,48.5%,8.8%,1.92,11.5%
2019 Miami R64,L vs Mannarino,72.8%,47.5%,8.6%,6/1,1.68,4.5%,64.4%,44.8%,8.9%,1.62,10.3%,85.7%,50.0%,8.6%,1.73,0.0%
2019 Rio de Janeiro QF,W vs Dellien,65.5%,45.6%,3.4%,3/0,2.02,7.7%,78.4%,47.5%,2.0%,2.09,18.2%,89.5%,41.2%,10.5%,1.97,0.0%
2019 Rio de Janeiro R16,W vs Monteiro,87.1%,54.1%,5.7%,4/0,2.02,5.9%,83.0%,46.2%,2.1%,1.94,12.5%,100.0%,68.2%,13.6%,2.09,0.0%
2019 Rio de Janeiro R32,W vs Cecchinato,67.2%,46.7%,1.5%,0/1,1.81,13.2%,64.4%,48.3%,0.0%,1.76,30.4%,94.1%,43.8%,5.9%,1.85,0.0%
2019 Buenos Aires R16,L vs Schwartzman,72.1%,51.0%,2.9%,0/2,1.87,9.3%,71.2%,48.6%,0.0%,1.96,18.9%,85.7%,58.3%,14.3%,1.79,0.0%
2019 Buenos Aires R16,L vs Schwartzman,72.1%,51.0%,2.9%,0/2,1.87,9.3%,71.2%,48.6%,0.0%,1.96,18.9%,85.7%,58.3%,14.3%,1.79,0.0%
2019 Cordoba QF,L vs Cuevas,66.0%,31.4%,9.4%,2/3,2.12,7.8%,58.1%,16.7%,9.7%,2.09,17.4%,85.0%,47.1%,10.0%,2.14,0.0%
2019 Cordoba R16,W vs Fognini,80.4%,62.2%,0.0%,0/0,2.46,21.4%,87.5%,60.7%,0.0%,2.32,37.5%,85.0%,64.7%,0.0%,2.63,0.0%
2019 Cordoba R32,W vs Marterer,76.3%,44.4%,3.4%,1/1,2.08,2.5%,75.6%,35.3%,2.2%,2.03,5.3%,91.7%,72.7%,8.3%,2.12,0.0%
2019 Australian Open R128,L vs Zverev,57.1%,43.2%,5.2%,3/1,1.94,4.5%,50.0%,34.8%,4.3%,1.87,2.8%,84.0%,52.4%,8.0%,2.02,6.5%
2019 Sydney Q1,L vs Garcia Lopez,54.5%,45.5%,4.0%,3/1,2.35,42.2%,70.0%,32.1%,5.0%,2.32,53.6%,87.1%,59.3%,6.5%,2.38,23.5%
2018 Moscow R32,W vs Djere,71.1%,48.1%,7.9%,5/4,2.12,14.4%,61.2%,56.1%,4.5%,2.09,25.5%,90.9%,40.0%,13.6%,2.15,0.0%
Career (37 matches),,70.0%,45.2%,4.6%,60.0%,2.12,17.0%,67.2%,41.8%,2.5%,2.13,30.4%,85.0%,50.3%,9.2%,2.12,3.7%
