Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,135,61,74,45.2%,150-187,44.5%,1637-1738,48.5%,28-33,45.9%,132,78.7%,18.2%,12.0%,4.4%,56.4%,75.8%,47.9%,63.6%,35.1%,49.3%,0.96
Clay,129,64,65,49.6%,160-165,49.2%,1554-1613,49.1%,31-22,58.5%,124,74.9%,22.6%,8.1%,3.4%,55.4%,71.9%,48.8%,61.6%,37.7%,49.6%,0.98
Grass,35,13,22,37.1%,43-63,40.6%,533-560,48.8%,9-16,36.0%,35,83.4%,15.2%,11.9%,2.9%,60.1%,75.3%,51.9%,65.9%,32.5%,49.2%,0.95
Grand Slams,53,18,35,34.0%,72-123,36.9%,890-1027,46.4%,11-17,39.3%,53,76.8%,16.8%,10.5%,4.0%,56.3%,73.5%,48.3%,62.5%,34.5%,48.5%,0.92
Masters,36,14,22,38.9%,32-46,41.0%,372-414,47.3%,5-8,38.5%,36,72.5%,22.0%,11.3%,4.5%,54.6%,74.4%,44.5%,60.9%,36.6%,48.8%,0.93
Other Tours,202,99,103,49.0%,236-243,49.3%,2369-2401,49.7%,52-45,53.6%,201,79.1%,20.2%,10.2%,3.5%,57.0%,74.3%,49.7%,63.8%,36.2%,49.9%,1.00
Best of 5,54,18,36,33.3%,72-124,36.7%,892-1033,46.3%,11-17,39.3%,53,76.8%,16.8%,10.5%,4.0%,56.3%,73.5%,48.3%,62.5%,34.5%,48.5%,0.92
Best of 3,245,120,125,49.0%,281-291,49.1%,2832-2878,49.6%,57-54,51.4%,238,78.2%,20.5%,10.3%,3.7%,56.6%,74.3%,49.0%,63.3%,36.2%,49.7%,0.99
Finals,4,0,4,0.0%,1-8,11.1%,33-55,37.5%,1-1,50.0%,4,73.8%,2.3%,9.8%,4.0%,55.1%,69.1%,47.6%,59.4%,27.2%,43.6%,0.67
Semi-finals,8,4,4,50.0%,11-9,55.0%,102-92,52.6%,2-3,40.0%,7,77.7%,28.4%,11.7%,2.3%,61.7%,71.5%,48.9%,62.9%,39.0%,50.8%,1.05
Quarter-finals,23,8,15,34.8%,19-33,36.5%,222-272,44.9%,2-4,33.3%,23,73.5%,16.9%,8.0%,3.2%,56.7%,71.9%,46.8%,61.0%,35.0%,48.1%,0.90
vs Righties,264,118,146,44.7%,301-371,44.8%,3244-3450,48.5%,60-67,47.2%,257,77.6%,19.2%,10.4%,3.8%,56.5%,73.9%,48.7%,62.9%,35.6%,49.2%,0.96
vs Lefties,34,19,15,55.9%,50-44,53.2%,468-458,50.5%,8-4,66.7%,33,79.2%,21.6%,10.6%,3.7%,56.4%,76.2%,49.1%,64.4%,37.0%,50.4%,1.04
vs Top 10,27,2,25,7.4%,6-57,9.5%,218-376,36.7%,2-4,33.3%,27,66.6%,6.9%,7.6%,3.6%,59.3%,65.5%,43.0%,56.3%,28.7%,43.2%,0.66
