Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Vienna QF,L vs Monfils,19.6%,30.4%,38.1%,25.4%,31.0%,44.8%,35.0%,42.1%,41.2%,41.7%,33.3%,8.3%,16.7%,40.9%,-37
2019 Metz F,L vs Tsonga,37.5%,47.3%,50.8%,42.0%,42.4%,59.3%,55.9%,50.8%,47.8%,47.2%,66.7%,35.4%,37.5%,45.2%,64
2019 Davis Cup G2 R1 RR,W vs Maamoun,42.4%,50.8%,48.4%,45.9%,55.2%,65.5%,53.8%,62.4%,21.4%,40.0%,100.0%,33.3%,40.7%,44.4%,72
2019 Portoroz CH F,W vs Durasovic,35.7%,37.5%,39.4%,37.9%,60.0%,60.0%,50.0%,64.8%,41.7%,46.2%,100.0%,17.9%,21.4%,34.8%,59
2019 Umag QF,L vs Lajovic,13.7%,27.4%,47.5%,22.7%,21.3%,42.6%,56.8%,39.6%,45.0%,51.9%,42.9%,6.5%,13.0%,39.5%,-48
2019 Roland Garros R128,L vs Coric,35.7%,44.3%,50.7%,37.9%,50.0%,56.9%,48.3%,54.5%,60.7%,46.7%,0.0%,23.1%,34.6%,52.5%,54
2019 Budapest R16,L vs Berrettini,23.9%,33.8%,56.0%,27.7%,38.2%,47.1%,57.1%,46.2%,33.3%,52.6%,66.7%,12.1%,24.2%,55.2%,1
2019 Budapest R32,W vs Tomic,29.2%,44.4%,57.4%,35.0%,40.0%,57.1%,57.1%,52.0%,40.0%,45.0%,0.0%,21.2%,36.4%,57.7%,85
2019 Miami R64,L vs Mannarino,23.5%,30.6%,45.5%,26.7%,31.0%,40.5%,48.3%,38.6%,36.8%,65.2%,75.0%,21.3%,27.7%,43.2%,82
2019 Rio de Janeiro QF,W vs Dellien,25.2%,32.0%,51.9%,28.3%,45.0%,55.0%,59.1%,53.0%,52.4%,47.4%,25.0%,21.1%,28.9%,46.7%,87
2019 Rio de Janeiro R16,W vs Monteiro,26.0%,35.1%,51.0%,29.5%,41.5%,48.8%,45.8%,48.0%,42.1%,27.3%,25.0%,10.0%,23.3%,55.6%,-26
2019 Rio de Janeiro R32,W vs Cecchinato,32.9%,43.5%,52.8%,35.3%,41.0%,51.3%,52.2%,46.2%,15.0%,73.7%,100.0%,28.6%,40.5%,53.3%,53
2019 Buenos Aires R16,L vs Schwartzman,17.2%,24.7%,42.7%,21.3%,24.5%,32.7%,51.4%,32.2%,31.8%,29.6%,42.9%,9.5%,16.7%,34.2%,-18
2019 Buenos Aires R16,L vs Schwartzman,17.2%,24.7%,42.7%,21.3%,24.5%,32.7%,51.4%,32.2%,31.8%,29.6%,42.9%,9.5%,16.7%,34.2%,-18
2019 Cordoba QF,L vs Cuevas,26.7%,30.7%,39.2%,28.8%,42.5%,47.5%,43.5%,46.5%,30.0%,45.0%,100.0%,9.7%,12.9%,35.7%,-18
2019 Cordoba R16,W vs Fognini,35.4%,43.8%,42.9%,40.8%,48.4%,61.3%,50.0%,56.8%,38.5%,61.1%,-,14.3%,14.3%,33.3%,11
2019 Cordoba R32,W vs Marterer,25.5%,41.8%,70.0%,33.1%,40.6%,59.4%,73.7%,53.8%,60.0%,47.1%,-,4.5%,18.2%,66.7%,-70
2019 Australian Open R128,L vs Zverev,17.9%,29.8%,40.3%,23.9%,28.0%,46.0%,55.6%,38.2%,33.3%,52.2%,0.0%,3.1%,6.3%,22.6%,-86
2019 Sydney Q1,L vs Garcia Lopez,21.2%,26.9%,40.0%,24.0%,39.1%,52.2%,46.4%,45.7%,21.1%,25.9%,100.0%,19.0%,19.0%,29.4%,53
2018 Moscow R32,W vs Djere,25.4%,36.1%,53.3%,33.2%,32.0%,49.3%,56.9%,44.7%,48.4%,34.1%,20.0%,15.2%,15.2%,48.7%,-47
Career (37 matches),,27.1%,37.1%,48.1%,32.1%,37.6%,50.3%,53.2%,46.7%,38.9%,42.7%,42.6%,16.9%,24.6%,42.9%,48
