Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,8,7,1,87.5%,14-6,70.0%,113-87,56.5%,1-1,50.0%,8,78.4%,35.6%,8.9%,4.0%,53.8%,71.6%,52.6%,62.8%,43.1%,52.4%,1.16,W (Portoroz)
2018,5,5,0,100.0%,10-2,83.3%,70-50,58.3%,3-0,100.0%,5,89.8%,24.1%,10.8%,2.0%,56.7%,79.1%,55.8%,69.0%,38.5%,54.2%,1.24,W (Orleans)
2017,15,15,0,100.0%,30-4,88.2%,201-131,60.5%,7-0,100.0%,15,85.1%,34.8%,8.1%,3.1%,56.7%,73.7%,56.4%,66.2%,44.7%,54.8%,1.32,W (3x)
2016,12,9,3,75.0%,18-9,66.7%,142-110,56.3%,4-1,80.0%,12,80.5%,31.5%,9.8%,3.7%,54.0%,75.7%,51.1%,64.4%,42.2%,52.7%,1.19,F (Irving)
2015,17,16,1,94.1%,32-5,86.5%,222-143,60.8%,7-1,87.5%,17,84.0%,35.8%,10.6%,2.6%,53.3%,76.7%,56.0%,67.0%,45.1%,55.6%,1.37,W (3x)
2014,20,14,6,70.0%,29-20,59.2%,259-235,52.4%,5-6,45.5%,20,81.4%,23.7%,9.6%,3.1%,54.0%,75.3%,50.8%,64.0%,39.6%,51.6%,1.10,W (Todi)
2013,19,16,3,84.2%,31-10,75.6%,230-170,57.5%,7-2,77.8%,18,83.2%,30.4%,9.4%,2.7%,58.0%,74.8%,53.3%,65.8%,43.0%,54.0%,1.26,W (2x)
2012,46,34,12,73.9%,73-34,68.2%,584-450,56.5%,13-6,68.4%,42,81.9%,30.3%,9.8%,5.9%,56.0%,74.5%,52.0%,64.6%,42.0%,53.2%,1.19,W (4x)
2011,28,20,8,71.4%,42-19,68.9%,329-256,56.2%,5-3,62.5%,28,77.4%,34.3%,7.8%,3.9%,55.8%,72.0%,51.0%,62.7%,43.9%,52.9%,1.18,W (Barletta)
2010,6,3,3,50.0%,7-6,53.8%,74-68,52.1%,1-4,20.0%,6,75.0%,31.9%,4.9%,4.1%,53.9%,69.6%,49.5%,60.3%,40.9%,50.6%,1.03,R16 (3x)
2009,1,0,1,0.0%,0-1,0.0%,3-6,33.3%,0-0,-,0,,,,,,,,,,,,R32 (Ljubljana)
Career,177,139,38,78.5%,286-116,71.1%,2227-1706,56.6%,53-24,68.8%,171,81.5%,31.2%,9.2%,3.9%,55.4%,74.3%,52.6%,64.6%,42.6%,53.3%,1.20,
