Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Davis Cup Qualifiers RR,L vs De Jong,4.4,4.8,3.9,46.0%,45.7%,50.0%,47.4%,66.9%,6.3%,10.0,4.5,-4.0,-3.8
2026 Davis Cup Qualifiers RR,L vs Den Ouden,4.1,3.7,4.5,44.9%,42.6%,62.5%,33.3%,59.5%,10.7%,-1.0,-0.6,-2.0,-1.9
2024 Monte Carlo R64,W vs Arnaldi,4.3,5.0,3.7,53.8%,54.3%,50.0%,42.1%,67.6%,10.9%,26.0,11.6,-2.5,-2.6
2023 Rome CH F,W vs De Jong,5.4,6.4,4.5,47.4%,59.4%,68.4%,70.0%,65.1%,2.9%,12.5,6.7,10.0,10.4
2019 Banja Luka CH F,L vs Griekspoor,4.6,4.7,4.3,43.5%,43.5%,42.3%,41.7%,63.1%,4.4%,7.0,4.6,-8.5,-10.8
2019 US Open Q3,L vs Menezes,4.9,5.0,4.8,49.0%,56.1%,63.0%,51.5%,60.0%,4.0%,17.0,6.6,7.0,4.3
2019 Hamburg R32,L vs Gasquet,4.6,4.5,4.6,41.0%,34.4%,61.1%,41.7%,59.2%,1.0%,5.5,3.9,-4.0,-4.1
Career (7 matches),,4.6,4.8,4.3,47.1%,48.3%,55.8%,48.5%,63.1%,5.8%,11.0,5.7,-0.6,-0.5
