Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,34,9,25,26.5%,30-58,34.1%,352-457,43.5%,4-3,57.1%,23,62.9%,16.0%,1.8%,3.5%,67.7%,60.9%,47.3%,56.5%,34.4%,45.4%,0.79
Clay,19,6,13,31.6%,16-30,34.8%,191-237,44.6%,1-3,25.0%,19,67.1%,22.9%,1.7%,3.0%,71.2%,59.9%,50.7%,57.2%,37.4%,47.4%,0.88
Grass,1,0,1,0.0%,1-3,25.0%,15-21,41.7%,0-0,-,1,61.1%,22.2%,2.5%,3.3%,65.3%,65.8%,35.7%,55.4%,35.2%,46.0%,0.79
Grand Slams,10,2,8,20.0%,9-25,26.5%,131-181,42.0%,1-2,33.3%,10,65.4%,19.2%,1.7%,3.5%,70.2%,62.9%,46.2%,57.9%,35.9%,46.6%,0.85
Masters,4,1,3,25.0%,3-7,30.0%,40-52,43.5%,0-0,-,4,65.2%,21.7%,0.3%,2.9%,64.0%,58.4%,54.1%,56.8%,36.0%,46.8%,0.83
Other Tours,28,6,22,21.4%,20-46,30.3%,263-358,42.4%,3-4,42.9%,26,65.7%,18.4%,2.1%,3.0%,69.9%,60.1%,49.1%,56.8%,35.5%,46.4%,0.82
Best of 5,10,2,8,20.0%,9-25,26.5%,131-181,42.0%,1-2,33.3%,10,65.4%,19.2%,1.7%,3.5%,70.2%,62.9%,46.2%,57.9%,35.9%,46.6%,0.85
Best of 3,44,13,31,29.5%,38-66,36.5%,427-534,44.4%,4-4,50.0%,33,64.2%,19.0%,1.8%,3.2%,68.6%,59.7%,48.9%,56.3%,35.6%,46.1%,0.81
Quarter-finals,1,0,1,0.0%,1-2,33.3%,13-17,43.3%,0-0,-,1,73.3%,13.3%,1.1%,1.1%,88.6%,59.0%,50.0%,58.0%,31.3%,45.0%,0.75
vs Righties,47,12,35,25.5%,38-81,31.9%,465-626,42.6%,4-6,40.0%,37,62.2%,18.8%,1.4%,3.4%,68.3%,59.8%,47.2%,55.8%,35.5%,45.8%,0.80
vs Lefties,7,3,4,42.9%,9-10,47.4%,93-89,51.1%,1-0,100.0%,6,76.8%,20.7%,3.6%,2.3%,73.1%,64.6%,54.3%,61.8%,36.4%,49.0%,0.95
vs Top 10,5,0,5,0.0%,2-12,14.3%,43-80,35.0%,0-0,-,3,55.8%,18.2%,0.4%,4.6%,65.6%,58.8%,43.9%,53.7%,33.3%,43.7%,0.72
