Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1996,273,57,,,,,,,,,,,,
1995,22,57,30,1915,28,1829,69,1727,11,1872,,,,
1994,24,58,19,2003,17,1933,39,1786,7,1909,,,,
1993,14,86,15,2050,16,1977,32,1840,8,1926,,,,
1992,18,54,24,1972,22,1913,33,1823,13,1871,,,,
1991,12,66,12,2076,12,1992,18,1907,6,1995,,,,
1990,10,100,9,2122,9,2040,12,1963,5,2024,,,,
1989,4,128,7,2164,4,2082,9,1981,5,2011,,,,
1988,9,68,9,2081,7,1993,9,1946,8,1960,,,,
1987,9,80,15,1989,12,1918,10,1922,9,1950,,,,
1986,11,56,10,2072,7,2008,12,1940,7,1930,,,,
1985,8,,9,2097,6,2013,9,1999,8,1958,,,,
1984,9,,7,2066,5,1945,6,1952,8,1916,,,,
1983,,,10,2071,8,1904,10,1968,8,1953,,,,
1982,,,12,1988,14,1803,13,1880,11,1869,,,,
1981,,,60,1726,55,1617,,,,,,,,
