Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,17,6,11,35.3%,12,8,4,66.7%,2005,2015,R32,17,0.94,3.0%,2.2%,68.4%,62.2%,50.1%,58.4%,39.1%,49.8%,40.9%
Roland Garros,13,Clay,29,16,13,55.2%,11,4,7,36.4%,2004,2016,R16,26,1.02,2.3%,1.8%,71.0%,63.0%,54.6%,60.5%,40.2%,54.6%,36.2%
Wimbledon,8,Grass,14,6,8,42.9%,10,5,5,50.0%,2005,2016,R32,14,1.00,4.0%,2.8%,71.0%,69.3%,55.6%,65.3%,34.6%,66.7%,39.3%
US Open,12,Hard,18,6,12,33.3%,15,4,11,26.7%,2004,2016,R16,18,0.95,4.0%,3.3%,66.7%,63.4%,52.3%,59.7%,38.1%,54.1%,39.8%
Olympics,3,,5,2,3,40.0%,1,1,0,100.0%,2008,2016,R32,5,0.93,3.4%,3.4%,63.4%,62.1%,59.0%,60.9%,36.4%,56.3%,52.2%
Davis Cup,9,,23,11,12,47.8%,8,5,3,62.5%,2004,2016,,1,0.49,4.1%,0.0%,79.7%,47.5%,26.7%,43.2%,27.9%,27.3%,28.6%
Miami Masters,14,Hard,30,16,14,53.3%,9,2,7,22.2%,2004,2017,SF,30,1.06,2.6%,2.9%,69.2%,66.4%,49.5%,61.2%,41.0%,57.7%,38.1%
Buenos Aires,12,Clay,34,23,11,67.6%,16,10,6,62.5%,2004,2016,W,34,1.14,2.6%,2.1%,69.2%,65.7%,54.6%,62.3%,43.0%,60.3%,44.4%
Rome Masters,11,Clay,26,15,11,57.7%,6,1,5,16.7%,2005,2016,QF,23,1.07,1.5%,1.8%,73.6%,62.8%,52.6%,60.1%,42.8%,45.1%,43.8%
Indian Wells Masters,11,Hard,20,9,11,45.0%,8,3,5,37.5%,2005,2017,QF,20,0.96,2.4%,2.7%,66.8%,63.2%,50.5%,59.0%,39.6%,54.5%,38.7%
Madrid Masters,9,Clay,20,11,9,55.0%,4,1,3,25.0%,2007,2016,R16,20,1.06,2.3%,1.8%,73.7%,64.6%,54.8%,62.0%,40.1%,55.3%,41.7%
Acapulco,8,Clay,15,7,8,46.7%,8,2,6,25.0%,2005,2012,SF,15,1.02,2.7%,3.4%,62.4%,67.5%,52.1%,61.7%,38.9%,62.6%,47.3%
