Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2015 Nice QF,L vs Mayer,12.7%,21.8%,55.3%,16.4%,9.1%,18.2%,50.0%,13.6%,4.2%,80.0%,50.0%,30.0%,40.0%,85.7%,59
2015 Monte Carlo R32,L vs Wawrinka,15.6%,21.9%,38.5%,19.8%,9.5%,16.7%,39.5%,16.0%,31.8%,45.0%,50.0%,30.0%,35.0%,35.7%,59
2015 Buenos Aires F,L vs Nadal,11.9%,18.6%,43.8%,18.3%,14.6%,24.4%,48.6%,23.9%,80.0%,23.8%,25.0%,7.1%,7.1%,30.8%,-79
2014 Madrid R32,L vs Nadal,5.3%,7.9%,25.7%,6.6%,9.5%,14.3%,31.6%,11.9%,77.8%,41.7%,50.0%,0.0%,0.0%,18.8%,-118
2012 Hamburg F,W vs Haas,10.7%,13.3%,55.4%,14.4%,13.3%,16.7%,57.7%,18.0%,29.6%,60.6%,50.0%,0.0%,0.0%,46.2%,-118
2012 Hamburg QF,W vs Chardy,29.1%,36.4%,55.3%,31.8%,34.1%,41.5%,59.3%,37.8%,17.6%,83.3%,100.0%,15.4%,23.1%,45.5%,29
2012 Miami SF,L vs Djokovic,21.4%,24.3%,42.6%,22.9%,21.3%,25.5%,51.4%,23.4%,50.0%,60.0%,100.0%,22.7%,22.7%,23.5%,-13
2011 Paris QF,L vs Federer,23.0%,27.9%,51.1%,26.6%,29.7%,35.1%,53.8%,35.7%,11.1%,78.9%,100.0%,13.6%,18.2%,47.4%,19
2011 US Open R16,L vs Federer,20.6%,25.0%,28.8%,22.1%,22.2%,26.7%,22.9%,24.4%,27.3%,78.3%,87.5%,19.0%,23.8%,41.2%,53
2010 Shanghai SF,L vs Murray,16.3%,20.4%,36.6%,18.4%,19.4%,25.8%,36.0%,22.6%,43.8%,53.3%,50.0%,11.1%,11.1%,37.5%,-79
Career (10 matches),,17.0%,22.1%,43.8%,20.1%,18.3%,24.4%,46.1%,22.9%,34.5%,61.8%,63.6%,15.4%,18.3%,38.5%,21
