Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2016,65,740,36,1854,38,1778,30,1839,52,1669,,,,
2015,53,810,39,1835,37,1773,28,1818,61,1656,235,295,105,1545
2014,62,770,38,1836,45,1761,31,1820,,,153,495,92,1581
2013,42,1015,30,1864,45,1771,21,1865,53,1663,141,510,81,1623
2012,12,2430,19,1941,22,1854,13,1931,53,1670,179,360,,
2011,26,1335,29,1887,32,1831,23,1848,104,1560,179,370,81,1625
2010,26,1480,30,1875,35,1800,20,1871,,,110,745,65,1640
2009,30,1170,28,1889,37,1775,16,1898,89,1567,110,645,107,1543
2008,46,785,45,1821,55,1727,26,1840,,,43,1180,57,1672
2007,23,1350,25,1890,39,1770,14,1901,77,1590,292,185,130,1408
2006,69,529,91,1686,130,1561,76,1666,,,415,112,,
2005,85,477,114,1661,160,1528,76,1669,136,1500,152,345,112,1478
2004,73,533,90,1710,105,1616,61,1723,,,305,147,,
2003,324,99,,,,,,,,,550,65,,
2002,470,44,,,,,,,,,465,72,,
2001,785,13,,,,,,,,,716,37,,
