Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2015 Nice QF,L vs Mayer,0.0%,-,3.0%,50.0%,3.3%,2.9%,0.0%,8.5%,100.0%,0.8%,0.0%,-108,-116
2015 Monte Carlo R32,L vs Wawrinka,0.0%,-,5.4%,100.0%,3.9%,0.0%,25.0%,1.8%,0.0%,0.0%,-,-106,-98
2015 Buenos Aires F,L vs Nadal,0.0%,-,10.2%,72.7%,11.5%,19.0%,14.3%,6.7%,20.0%,0.4%,0.0%,-10,-38
2014 Madrid R32,L vs Nadal,5.3%,100.0%,6.1%,40.0%,3.8%,11.1%,16.7%,5.0%,15.4%,1.5%,0.0%,-74,-89
2012 Hamburg F,W vs Haas,0.0%,-,10.1%,73.3%,5.5%,3.3%,12.5%,7.2%,33.3%,1.4%,60.0%,-121,-120
2012 Hamburg QF,W vs Chardy,0.0%,-,4.6%,83.3%,6.3%,15.4%,0.0%,3.5%,33.3%,0.4%,0.0%,-113,-80
2012 Miami SF,L vs Djokovic,0.0%,-,5.9%,62.5%,1.6%,3.6%,0.0%,4.0%,9.1%,0.5%,50.0%,-87,-78
2011 Paris QF,L vs Federer,0.0%,-,7.6%,50.0%,9.3%,11.8%,5.9%,4.0%,0.0%,0.4%,0.0%,-63,-59
2011 US Open R16,L vs Federer,0.0%,-,6.3%,50.0%,4.5%,4.3%,0.0%,3.3%,0.0%,0.9%,0.0%,-98,-92
2010 Shanghai SF,L vs Murray,0.0%,-,17.0%,25.0%,3.0%,7.3%,0.0%,2.9%,16.7%,0.4%,0.0%,-89,-85
Career (10 matches),,0.3%,100.0%,7.4%,58.4%,5.1%,6.5%,6.4%,5.0%,20.0%,0.7%,22.2%,-89,-87
