Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,1-2,33.3%,12-15,44.4%,0-0,-,1,69.2%,21.4%,1.2%,3.7%,56.8%,60.9%,51.4%,56.8%,42.2%,48.6%,0.98,R16 (Cap Cana)
2025,13,9,4,69.2%,19-10,65.5%,149-128,53.8%,4-1,80.0%,13,73.5%,32.8%,1.4%,2.5%,65.8%,64.9%,57.3%,62.3%,43.1%,52.5%,1.14,F (Cap Cana)
2024,56,43,13,76.8%,80-40,66.7%,642-504,56.0%,4-8,33.3%,55,73.6%,38.9%,1.4%,2.8%,68.4%,64.4%,54.2%,61.2%,44.7%,52.9%,1.15,W (6x)
2023,50,31,19,62.0%,66-45,59.5%,550-481,53.3%,6-2,75.0%,50,69.3%,37.2%,1.8%,3.2%,68.3%,62.5%,50.0%,58.5%,44.9%,51.6%,1.08,W (Istanbul)
2022,36,19,17,52.8%,39-35,52.7%,352-348,50.3%,2-4,33.3%,34,68.9%,30.3%,1.3%,3.6%,66.2%,62.7%,49.8%,58.4%,41.4%,50.0%,0.99,F (2x)
2021,36,20,16,55.6%,49-36,57.6%,419-388,51.9%,5-6,45.5%,36,71.1%,32.6%,2.6%,3.2%,65.4%,64.6%,51.8%,60.1%,42.4%,50.9%,1.06,F (Belgrade)
2020,9,6,3,66.7%,13-8,61.9%,104-84,55.3%,1-1,50.0%,9,77.4%,33.3%,2.2%,4.3%,66.7%,68.9%,49.0%,62.2%,43.3%,52.5%,1.15,F (Barcelona)
2019,14,9,5,64.3%,19-13,59.4%,159-144,52.5%,2-1,66.7%,13,78.4%,25.5%,4.9%,3.2%,65.0%,69.2%,50.4%,62.6%,39.5%,51.2%,1.06,F (Bratislava)
2017,11,9,2,81.8%,18-6,75.0%,140-93,60.1%,3-3,50.0%,11,79.3%,41.2%,4.9%,3.6%,65.7%,71.0%,52.4%,64.6%,45.9%,54.7%,1.30,W (Blois)
2016,12,7,5,58.3%,16-8,66.7%,119-88,57.5%,0-1,0.0%,12,73.0%,37.8%,4.7%,3.0%,67.9%,66.9%,50.2%,61.5%,45.5%,53.1%,1.18,SF (Alphen aan den Rijn)
2015,40,27,13,67.5%,55-33,62.5%,458-357,56.2%,4-3,57.1%,40,76.0%,36.8%,2.8%,2.4%,66.8%,65.3%,51.6%,60.7%,43.9%,52.4%,1.12,W (3x)
2014,42,27,15,64.3%,55-35,61.1%,452-393,53.5%,8-4,66.7%,41,74.8%,31.7%,3.4%,3.1%,65.2%,67.3%,50.5%,61.5%,42.6%,51.8%,1.11,W (3x)
2013,28,15,13,53.6%,38-30,55.9%,345-299,53.6%,4-8,33.3%,28,72.2%,35.3%,3.8%,2.6%,62.0%,65.1%,51.1%,59.8%,42.7%,51.5%,1.06,F (2x)
2012,25,11,14,44.0%,25-34,42.4%,263-289,47.6%,2-3,40.0%,25,67.0%,29.6%,2.4%,2.7%,63.4%,63.7%,49.4%,58.5%,41.2%,49.7%,0.99,SF (Kosice)
Career,373,233,140,62.5%,493-335,59.5%,4164-3611,53.6%,45-45,50.0%,368,72.6%,34.4%,2.6%,3.0%,66.1%,65.0%,51.3%,60.4%,43.2%,51.7%,1.09,
