Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Thomas Fabbiano [ITA],8,3,72.7%,5,4,1,80.0%,2012,2022,11,1.14,3.3%,2.4%,68.8%,66.4%,52.2%,62.0%,43.2%,60.0%,46.5%
9,Ricardas Berankis [LTU],5,4,55.6%,2,0,2,0.0%,2013,2024,8,1.00,3.8%,3.8%,57.4%,68.0%,48.5%,59.7%,40.5%,68.2%,34.7%
9,Marco Cecchinato [ITA],4,5,44.4%,1,0,1,0.0%,2013,2021,8,0.92,1.6%,2.8%,72.2%,64.8%,46.3%,59.6%,37.3%,48.7%,36.2%
7,Radu Albot [MDA],4,3,57.1%,1,1,0,100.0%,2013,2025,6,0.98,1.7%,2.1%,66.7%,61.9%,48.3%,57.4%,41.9%,60.9%,43.4%
7,Norbert Gombos [SVK],5,2,71.4%,1,1,0,100.0%,2011,2021,4,1.20,2.7%,0.9%,66.1%,71.2%,53.3%,65.2%,41.8%,64.3%,42.9%
7,Mikhail Kukushkin [KAZ],4,3,57.1%,4,2,2,50.0%,2013,2019,7,1.17,5.3%,4.2%,57.9%,72.6%,55.3%,65.3%,40.6%,60.0%,28.8%
6,Andrey Rublev [RUS],0,6,0.0%,1,0,1,0.0%,2015,2025,6,0.87,2.7%,4.6%,65.9%,58.4%,43.9%,53.4%,40.3%,52.2%,31.5%
6,Maximilian Marterer [GER],3,3,50.0%,1,0,1,0.0%,2016,2024,5,1.07,1.7%,4.0%,62.7%,64.1%,56.5%,61.3%,41.6%,60.0%,44.2%
6,Andrea Vavassori [ITA],2,4,33.3%,2,0,2,0.0%,2016,2024,6,0.98,2.3%,3.2%,69.6%,63.2%,45.9%,57.9%,41.4%,59.3%,42.0%
6,Dennis Novak [AUT],3,3,50.0%,1,1,0,100.0%,2015,2023,6,0.88,1.5%,4.4%,68.6%,57.8%,52.7%,56.2%,38.4%,56.9%,38.2%
6,Aldin Setkic [BIH],4,2,66.7%,2,2,0,100.0%,2009,2014,2,1.07,2.3%,2.3%,64.9%,68.5%,48.3%,61.4%,41.5%,50.0%,30.8%
6,Toni Androic [CRO],5,1,83.3%,2,2,0,100.0%,2009,2013,0,,,,,,,,,,
5,Gael Monfils [FRA],1,4,20.0%,1,0,1,0.0%,2019,2026,5,0.79,0.9%,3.3%,60.1%,56.8%,42.4%,51.1%,38.6%,51.1%,28.6%
5,Stan Wawrinka [SUI],3,2,60.0%,2,2,0,100.0%,2017,2025,5,0.92,1.3%,3.1%,69.0%,66.8%,53.2%,62.6%,34.3%,64.3%,51.9%
5,Borna Coric [CRO],2,3,40.0%,3,2,1,66.7%,2013,2025,4,0.92,1.2%,2.4%,64.9%,64.2%,55.8%,61.2%,35.5%,46.7%,28.0%
