Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2013 Roland Garros R128,L vs Kvitova,88.8,,,,,106,,,,,,,73
2012 Roland Garros R128,L vs Begu,86.8,,,,,108,,,,,,,75
2012 Australian Open R128,L vs Peng,84.6,,,,,106,,,,,,,71
2011 US Open R128,L vs Pennetta,89.6,96.4,9.1,,,108,82,76.5,5.4,,,89,68
2011 Wimbledon R128,L vs Williams,91.2,98.0,8.1,,,108,82,81.1,5.5,,,91,71
2011 Roland Garros R128,L vs Begu,87.5,95.1,9.1,,,108,81,78.6,4.3,,,85,69
Career (6 matches),,88.0,96.5,8.8,,,108,81,79.1,4.9,,,91,68
