Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,110,49,61,44.5%,120-137,46.7%,1182-1256,48.5%,15-12,55.6%,90,-,-,3.5%,7.5%,55.4%,64.7%,43.2%,55.1%,42.5%,48.7%,0.95
Clay,89,48,41,53.9%,114-97,54.0%,1029-976,51.3%,10-13,43.5%,75,-,-,3.0%,6.5%,59.0%,62.9%,44.0%,55.1%,46.1%,50.6%,1.03
Grass,27,13,14,48.1%,31-32,49.2%,281-310,47.5%,5-1,83.3%,23,-,-,6.1%,6.2%,59.8%,68.1%,46.3%,59.3%,37.6%,48.6%,0.92
Carpet,4,1,3,25.0%,3-6,33.3%,34-47,42.0%,0-0,-,4,-,-,6.5%,7.6%,54.9%,67.8%,39.2%,54.9%,37.9%,46.8%,0.84
Grand Slams,47,21,26,44.7%,55-61,47.4%,521-569,47.8%,11-3,78.6%,41,-,-,3.3%,6.7%,56.9%,64.2%,44.1%,55.5%,42.9%,49.3%,0.97
Premiers,58,18,40,31.0%,54-86,38.6%,614-721,46.0%,2-9,18.2%,55,-,-,3.3%,7.0%,57.4%,62.6%,41.9%,53.8%,41.5%,47.7%,0.90
Internationals,97,56,41,57.7%,123-96,56.2%,1069-991,51.9%,14-10,58.3%,78,-,-,3.9%,6.8%,58.0%,65.3%,45.5%,57.0%,44.6%,50.7%,1.04
Finals,7,4,3,57.1%,7-6,53.8%,62-63,49.6%,1-1,50.0%,6,-,-,2.5%,8.4%,57.2%,65.9%,39.1%,54.4%,42.6%,48.7%,0.94
Semi-finals,11,7,4,63.6%,15-9,62.5%,121-101,54.5%,0-1,0.0%,10,-,-,5.3%,6.2%,59.3%,65.7%,45.1%,57.4%,45.5%,51.5%,1.07
Quarter-finals,17,10,7,58.8%,21-17,55.3%,178-170,51.1%,1-1,50.0%,12,-,-,4.8%,6.2%,61.3%,64.0%,49.2%,58.2%,47.2%,52.5%,1.13
vs Righties,206,99,107,48.1%,240-242,49.8%,2255-2313,49.4%,29-23,55.8%,175,-,-,3.7%,7.0%,57.2%,64.6%,43.7%,55.7%,43.2%,49.4%,0.97
vs Lefties,24,12,12,50.0%,28-30,48.3%,271-276,49.5%,1-3,25.0%,17,-,-,3.7%,6.4%,58.7%,62.6%,44.4%,55.1%,44.4%,49.9%,0.99
vs Top 10,19,6,13,31.6%,15-29,34.1%,170-231,42.4%,0-0,-,19,-,-,3.3%,7.9%,57.8%,61.8%,35.3%,50.6%,42.9%,46.8%,0.87
