Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2020-08-31),1153,7,,,,,,,,,1254,10,,
2018,437,66,,,,,,,,,605,63,,
2017,332,132,,,,,,,,,461,106,,
2016,662,31,,,,,,,,,312,179,,
2015,280,155,,,,,,,,,260,240,,
2014,206,241,162,1392,159,1373,153,1350,,,238,225,,
2013,398,106,,,,,,,,,867,24,,
2012,242,233,,,,,,,,,374,133,,
2011,213,280,196,1440,184,1426,181,1423,160,1428,1202,5,,
2010,229,253,,,,,,,,,372,148,,
2009,326,122,,,,,,,,,,,,
2008,386,59,,,,,,,,,,,,
2007,412,46,,,,,,,,,,,,
2006,677,15,,,,,,,,,,,,
2005,1221,3,,,,,,,,,,,,
