Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,8,2,6,25.0%,2,1,1,50.0%,2012,2019,R128,6,0.92,13.2%,4.5%,54.6%,69.7%,45.2%,58.6%,37.9%,37.2%,48.8%
Roland Garros,4,Clay,5,1,4,20.0%,1,1,0,100.0%,2012,2017,R128,2,0.78,4.8%,4.8%,62.7%,62.0%,25.5%,48.4%,40.1%,42.1%,33.3%
Wimbledon,12,Grass,14,2,12,14.3%,9,2,7,22.2%,2008,2019,R64,8,0.72,9.7%,5.5%,58.2%,70.5%,44.5%,59.7%,29.1%,61.4%,27.3%
US Open,7,Hard,15,8,7,53.3%,11,4,7,36.4%,2011,2018,R64,9,0.99,9.5%,5.4%,55.4%,74.2%,42.1%,59.9%,39.6%,63.5%,42.6%
Birmingham,10,Grass,19,9,10,47.4%,10,6,4,60.0%,2008,2021,R16,15,1.00,13.0%,4.9%,58.5%,76.2%,44.3%,62.9%,37.0%,56.4%,38.0%
Eastbourne,9,Grass,9,0,9,0.0%,4,1,3,25.0%,2009,2018,R64,7,0.74,10.2%,8.7%,55.0%,70.2%,39.1%,56.2%,32.3%,50.0%,33.3%
Quebec City,5,Hard,11,5,6,45.5%,2,1,1,50.0%,2014,2018,SF,5,0.81,12.8%,5.8%,56.5%,70.8%,42.5%,58.5%,33.7%,60.5%,25.8%
Auckland,4,Hard,11,7,4,63.6%,4,3,1,75.0%,2015,2018,QF,10,1.03,12.4%,5.4%,56.5%,74.6%,42.9%,60.8%,40.5%,59.4%,40.7%
Luxembourg,4,Hard,10,5,5,50.0%,1,0,1,0.0%,2011,2017,QF,8,1.07,12.0%,5.9%,57.1%,74.0%,43.5%,60.9%,41.9%,66.2%,44.1%
Linz,4,Hard,9,4,5,44.4%,2,1,1,50.0%,2011,2017,R32,8,1.02,11.6%,4.9%,57.5%,74.4%,43.8%,61.4%,39.5%,63.8%,48.8%
