Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,2,1,1,50.0%,3-2,60.0%,25-23,52.1%,0-0,-,0,,,,,,,,,,,,R16 (W15 Sharm El Sheikh)
2019,21,8,13,38.1%,19-28,40.4%,206-232,47.0%,1-4,20.0%,1,50.0%,0.0%,2.3%,16.3%,55.8%,54.2%,42.1%,48.8%,32.7%,40.0%,0.64,QF (2x)
2018,27,13,14,48.1%,32-32,50.0%,309-292,51.4%,3-5,37.5%,3,40.7%,25.0%,7.0%,10.7%,54.5%,58.8%,34.1%,47.6%,35.3%,41.7%,0.67,SF (2x)
2017,32,20,12,62.5%,44-28,61.1%,376-317,54.3%,10-4,71.4%,8,77.4%,29.2%,13.4%,6.9%,56.6%,76.0%,47.6%,63.7%,40.5%,52.1%,1.11,F (Midland MI $100K)
2016,13,9,4,69.2%,21-12,63.6%,179-150,54.4%,4-5,44.4%,2,73.9%,13.0%,13.8%,4.6%,50.8%,74.2%,46.9%,60.8%,31.1%,45.8%,0.79,W (Midland MI $100K)
2015,49,30,19,61.2%,67-47,58.8%,580-513,53.1%,7-6,53.8%,0,,,,,,,,,,,,W (Landisville PA $25K)
2014,49,31,18,63.3%,68-40,63.0%,540-444,54.9%,6-2,75.0%,0,,,,,,,,,,,,W (3x)
2013,56,29,27,51.8%,70-63,52.6%,669-588,53.2%,7-13,35.0%,0,,,,,,,,,,,,F (Sharm El Sheikh 10K)
2012,31,14,17,45.2%,36-38,48.6%,320-320,50.0%,0-2,0.0%,0,,,,,,,,,,,,F (Bournemouth 10K)
2011,54,32,22,59.3%,71-54,56.8%,649-576,53.0%,13-11,54.2%,0,,,,,,,,,,,,F (3x)
2010,45,22,23,48.9%,52-54,49.1%,506-507,50.0%,5-8,38.5%,0,,,,,,,,,,,,F (Madrid 10K)
2009,51,40,11,78.4%,81-24,77.1%,592-366,61.8%,7-5,58.3%,0,,,,,,,,,,,,W (4x)
2008,30,15,15,50.0%,37-38,49.3%,340-348,49.4%,2-5,28.6%,0,,,,,,,,,,,,SF (Sunderland 10K)
2007,24,10,14,41.7%,26-29,47.3%,272-264,50.7%,4-8,33.3%,0,,,,,,,,,,,,SF (Sunderland 10K)
2006,8,3,5,37.5%,7-10,41.2%,72-81,47.1%,0-2,0.0%,0,,,,,,,,,,,,QF (Sunderland 10K)
Career,492,277,215,56.3%,634-499,56.0%,5635-5021,52.9%,69-80,46.3%,14,68.9%,24.3%,11.7%,7.8%,55.3%,71.3%,44.4%,59.3%,37.7%,48.6%,0.93,
