Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Daniel Dutra Da Silva [BRA],5,4,55.6%,2,0,2,0.0%,2010,2025,7,1.11,3.3%,2.1%,49.9%,64.3%,49.5%,56.9%,47.9%,54.9%,47.6%
8,Daniel Elahi Galan [COL],4,4,50.0%,3,0,3,0.0%,2015,2026,6,0.97,4.9%,4.1%,51.2%,73.7%,54.0%,64.1%,34.7%,68.3%,36.8%
8,Nicolas Kicker [ARG],3,5,37.5%,2,1,1,50.0%,2012,2025,4,0.90,9.2%,2.8%,55.1%,69.8%,44.5%,58.5%,37.4%,61.8%,37.5%
8,Juan Pablo Varillas [PER],2,6,25.0%,1,1,0,100.0%,2014,2022,5,0.66,6.9%,2.3%,57.5%,67.0%,37.7%,54.6%,30.2%,48.5%,26.7%
7,Hugo Dellien [BOL],5,2,71.4%,1,1,0,100.0%,2011,2025,2,1.13,5.9%,2.9%,61.0%,69.9%,58.5%,65.4%,39.1%,63.6%,55.6%
7,Andrea Collarini [ARG],1,6,14.3%,2,0,2,0.0%,2013,2024,3,0.71,5.5%,2.0%,57.8%,62.6%,39.3%,52.8%,33.5%,31.8%,50.0%
6,Roberto Cid [DOM],4,2,66.7%,2,1,1,50.0%,2016,2024,2,1.18,4.4%,2.0%,63.4%,70.8%,58.7%,66.3%,39.6%,60.0%,34.8%
6,Genaro Alberto Olivieri [ARG],4,2,66.7%,1,0,1,0.0%,2017,2023,4,1.23,6.8%,4.5%,54.5%,77.1%,49.2%,64.4%,43.9%,68.8%,36.8%
6,Camilo Ugo Carabelli [ARG],4,2,66.7%,3,1,2,33.3%,2017,2023,6,1.04,3.2%,2.8%,54.8%,64.3%,54.6%,59.9%,41.6%,65.2%,45.8%
6,Gonzalo Lama [CHI],4,2,66.7%,2,2,0,100.0%,2013,2022,3,1.14,16.4%,6.1%,57.3%,77.0%,52.7%,66.7%,38.0%,58.8%,35.0%
6,Christian Lindell [SWE],0,6,0.0%,3,1,2,33.3%,2013,2021,2,0.51,3.2%,1.1%,49.5%,57.4%,52.1%,54.7%,23.1%,58.3%,0.0%
6,Andres Molteni [ARG],0,6,0.0%,2,0,2,0.0%,2010,2016,3,0.81,5.8%,6.2%,44.4%,72.0%,46.3%,57.7%,34.3%,48.0%,33.3%
5,Federico Coria [ARG],2,3,40.0%,1,1,0,100.0%,2013,2025,2,1.22,16.9%,1.4%,60.1%,78.7%,52.5%,68.2%,38.7%,60.0%,25.0%
5,Pedro Sakamoto [BRA],3,2,60.0%,2,1,1,50.0%,2016,2024,4,1.08,12.1%,4.8%,57.1%,73.7%,44.4%,61.2%,41.9%,50.0%,26.7%
5,Gonzalo Villanueva [ARG],1,4,20.0%,0,0,0,-,2013,2023,1,1.23,9.3%,2.3%,40.7%,82.9%,49.0%,62.8%,45.8%,40.0%,71.4%
