Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,4,13,23.5%,10-29,25.6%,126-196,39.1%,0-0,-,16,59.1%,20.7%,0.9%,3.1%,65.0%,56.3%,42.2%,51.4%,37.0%,44.2%,0.76
Clay,26,8,18,30.8%,19-37,33.9%,220-282,43.8%,1-2,33.3%,25,44.9%,28.7%,0.9%,2.1%,70.5%,54.6%,43.4%,51.3%,42.9%,47.1%,0.88
Grass,2,0,2,0.0%,1-4,20.0%,17-30,36.2%,1-0,100.0%,2,60.0%,14.3%,1.6%,4.3%,69.6%,53.1%,44.6%,50.5%,35.4%,43.8%,0.72
Grand Slams,6,0,6,0.0%,1-12,7.7%,42-79,34.7%,0-1,0.0%,6,33.3%,6.7%,1.0%,2.3%,67.2%,49.2%,44.5%,47.7%,39.0%,43.4%,0.75
Premiers,9,2,7,22.2%,4-15,21.1%,65-106,38.0%,1-1,50.0%,9,40.0%,23.1%,0.4%,2.4%,70.9%,54.6%,35.0%,48.9%,39.3%,44.1%,0.77
Internationals,27,10,17,37.0%,24-37,39.3%,234-286,45.0%,1-0,100.0%,26,60.4%,26.1%,1.1%,2.7%,68.0%,57.2%,45.2%,53.4%,41.3%,47.4%,0.89
Semi-finals,1,0,1,0.0%,1-2,33.3%,12-16,42.9%,0-0,-,1,-,-,0.8%,2.3%,68.2%,52.3%,48.8%,51.2%,41.9%,47.3%,0.86
Quarter-finals,2,1,1,50.0%,2-2,50.0%,18-15,54.5%,0-0,-,2,55.6%,11.1%,0.0%,1.9%,64.8%,67.1%,50.0%,61.1%,42.1%,51.4%,1.08
vs Righties,41,11,30,26.8%,27-64,29.7%,328-461,41.6%,1-2,33.3%,40,51.3%,25.1%,0.9%,2.5%,68.5%,55.2%,43.3%,51.5%,40.9%,46.2%,0.84
vs Lefties,3,0,3,0.0%,1-6,14.3%,23-42,35.4%,1-0,100.0%,3,60.0%,14.3%,1.3%,4.2%,68.8%,53.4%,40.5%,49.4%,35.0%,42.9%,0.69
