Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,11,4,7,36.4%,11-17,39.3%,110-143,43.5%,2-0,100.0%,11,48.0%,37.9%,1.4%,5.0%,68.2%,54.2%,41.6%,50.2%,44.4%,47.4%,0.89,R32 (3x)
2024,5,3,2,60.0%,6-6,50.0%,61-56,52.1%,0-1,0.0%,5,69.5%,35.1%,3.6%,3.1%,76.6%,57.9%,48.5%,55.7%,44.4%,50.4%,1.00,SF (Osaka)
Career,16,7,9,43.8%,17-23,42.5%,171-199,46.2%,2-1,66.7%,16,54.8%,37.0%,2.1%,4.4%,70.9%,55.5%,43.4%,51.9%,44.4%,48.3%,0.92,
