Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Buenos Aires R16,L vs Fonseca,35,19,1.8,21.0%,11.4%,27,17,1.6,17.5%,11.0%,9.1%,3.2%,1.2,27.5%,24.0%
2024 US Open R128,L vs Borges,30,29,1.0,19.0%,18.4%,28,22,1.3,21.1%,16.5%,6.8%,0.0%,1.8,24.7%,13.9%
2024 Wimbledon R128,L vs Walton,33,34,1.0,19.3%,19.9%,29,33,0.9,18.0%,20.5%,11.2%,6.8%,1.2,16.4%,14.0%
2024 Cagliari CH QF,L vs Darderi,12,23,0.5,12.2%,23.5%,12,20,0.6,12.9%,21.5%,12.9%,0.0%,1.2,18.4%,15.3%
2024 Cordoba SF,L vs Bagnis,10,20,0.5,6.8%,13.6%,10,19,0.5,7.1%,13.6%,3.6%,3.6%,0.7,20.4%,27.9%
2023 US Open Q2,W vs Damm,16,11,1.5,14.3%,9.8%,12,8,1.5,12.0%,8.0%,5.0%,5.0%,0.5,14.3%,27.7%
2023 Wimbledon R128,L vs Ivashka,22,22,1.0,10.4%,10.4%,21,21,1.0,10.4%,10.4%,6.5%,3.5%,1.6,23.1%,14.6%
2023 Miami Masters R128,L vs Lehecka,23,18,1.3,22.8%,17.8%,17,16,1.1,20.7%,19.5%,2.4%,2.4%,2.0,35.6%,17.8%
2023 Indian Wells Masters R128,L vs Schwartzman,11,46,0.2,10.8%,45.1%,11,43,0.3,11.5%,44.8%,3.1%,0.0%,0.9,12.7%,14.7%
2023 Cordoba F,L vs Baez,10,30,0.3,6.5%,19.6%,10,25,0.4,6.8%,17.1%,4.8%,0.7%,0.8,19.0%,24.2%
2022 US Open R64,L vs Alcaraz,15,20,0.8,8.1%,10.8%,15,15,1.0,8.6%,8.6%,5.7%,2.3%,1.8,24.7%,13.4%
2022 US Open R128,W vs Griekspoor,21,18,1.2,11.5%,9.8%,15,13,1.2,9.5%,8.2%,4.4%,3.8%,0.8,19.7%,24.0%
2022 Wimbledon R128,L vs Vesely,20,17,1.2,11.2%,9.6%,17,12,1.4,12.4%,8.8%,6.6%,5.1%,1.3,22.5%,17.4%
2022 Indian Wells Masters R64,L vs Evans,10,30,0.3,11.4%,34.1%,7,29,0.2,8.6%,35.8%,4.9%,3.7%,1.3,25.0%,19.3%
2021 US Open R128,L vs Monfils,8,26,0.3,5.6%,18.2%,6,21,0.3,4.8%,16.8%,4.0%,0.8%,1.0,20.3%,21.0%
2021 Bastad F,L vs Ruud,9,24,0.4,8.0%,21.4%,9,21,0.4,8.6%,20.0%,5.7%,2.9%,1.2,25.0%,21.4%
2021 Wimbledon R128,L vs Galan,31,38,0.8,11.2%,13.7%,26,35,0.7,9.8%,13.3%,6.8%,3.0%,1.0,16.6%,17.3%
2021 Roland Garros R64,L vs Berrettini,11,14,0.8,6.5%,8.2%,11,14,0.8,7.0%,8.9%,,,1.4,24.1%,17.1%
2021 Roland Garros R128,W vs Lopez,14,14,1.0,8.0%,8.0%,14,14,1.0,9.3%,9.3%,,,0.5,12.6%,24.1%
2021 Cordoba R16,W vs Cerundolo,8,23,0.3,5.5%,15.9%,5,22,0.2,3.6%,15.8%,1.4%,2.2%,0.5,17.2%,33.8%
Career (29 matches),,536,703,0.8,11.0%,14.4%,464,638,0.7,10.4%,14.3%,4.6%,2.3%,0.9,20.0%,21.1%
